"","num","Differences","sequencename"
"1",1,496,"gi|306417094|emb|FR681730.1|Human_respiratory_syncytial_virus_B|Dec_08|2008|France|EU"
"2",2,372,"gi|353441621|gb|JN257691.1|Human_respiratory_syncytial_virus|31_Jan_11|2011|Canada|NA"
"3",3,98,"gi|458599775|gb|JX198113.1|HRSV|Oct_87|2087|USA|NA"
"4",4,79,"gi|458599771|gb|JX198112.1|HRSV|1956|1956|USA|NA"
"5",5,83,"gi|458599867|gb|JX198136.1|HRSV|May_61|2061|USA|NA"
"6",6,75,"gi|458599875|gb|JX198138.1|HRSV|1961|1961|Australia|OC"
"7",7,87,"gi|353441635|gb|JN257698.1|Human_respiratory_syncytial_virus|12_Jan_11|2011|Canada|NA"
"8",8,80,"gi|505581618|gb|KC297367.1|Human_respiratory_syncytial_virus_A|2012|2012|China|AS"
"9",9,80,"gi|558492808|gb|KC476691.1|HRSV|2010|2010|South_Africa|AF"
"10",10,81,"gi|558492738|gb|KC476656.1|HRSV|2010|2010|South_Africa|AF"
"11",11,46,"gi|458599871|gb|JX198137.1|HRSV|Dec_87|2087|USA|NA"
"12",12,282,"gi|443412010|gb|JX513281.1|Human_respiratory_syncytial_virus|2007|2007|Brazil|SA"
"13",13,265,"gi|443412136|gb|JX513344.1|Human_respiratory_syncytial_virus|2007|2007|Brazil|SA"
"14",14,266,"gi|443412004|gb|JX513278.1|Human_respiratory_syncytial_virus|2007|2007|Brazil|SA"
"15",15,76,"gi|339715277|gb|HQ699264.1|Human_respiratory_syncytial_virus_A|Jan_10|2010|South_Korea|AS"
"16",16,73,"gi|339715275|gb|HQ699263.1|Human_respiratory_syncytial_virus_A|Nov_09|2009|South_Korea|AS"
"17",17,260,"gi|443412032|gb|JX513292.1|Human_respiratory_syncytial_virus|2005|2005|Brazil|SA"
"18",18,264,"gi|443412116|gb|JX513334.1|Human_respiratory_syncytial_virus|2003|2003|Brazil|SA"
"19",19,268,"gi|443412224|gb|JX513388.1|Human_respiratory_syncytial_virus|2011|2011|Brazil|SA"
"20",20,263,"gi|443412044|gb|JX513298.1|Human_respiratory_syncytial_virus|2005|2005|Brazil|SA"
"21",21,261,"gi|443412052|gb|JX513302.1|Human_respiratory_syncytial_virus|2002|2002|Brazil|SA"
"22",22,264,"gi|443412068|gb|JX513310.1|Human_respiratory_syncytial_virus|2002|2002|Brazil|SA"
"23",23,68,"gi|458599795|gb|JX198118.1|HRSV|Nov_04|2004|USA|NA"
"24",24,70,"gi|458599855|gb|JX198133.1|HRSV|Jan_05|2005|USA|NA"
"25",25,266,"gi|443412048|gb|JX513300.1|Human_respiratory_syncytial_virus|2005|2005|Brazil|SA"
"26",26,265,"gi|443412006|gb|JX513279.1|Human_respiratory_syncytial_virus|2005|2005|Brazil|SA"
"27",27,600,"gi|352962965|gb|JF920060.1|Human_respiratory_syncytial_virus|14_Nov_98|1998|USA|NA"
"28",28,79,"gi|352962953|gb|JF920059.1|Human_respiratory_syncytial_virus|09_Mar_98|1998|USA|NA"
"29",29,267,"gi|443412066|gb|JX513309.1|Human_respiratory_syncytial_virus|2005|2005|Brazil|SA"
"30",30,68,"gi|352962976|gb|JF920061.1|Human_respiratory_syncytial_virus|02_May_98|1998|USA|NA"
"31",31,68,"gi|458599799|gb|JX198119.1|HRSV|Nov_04|2004|USA|NA"
"32",32,69,"gi|392301672|gb|JQ901455.1|Human_respiratory_syncytial_virus|29_Jun_02|2002|Netherlands|EU"
"33",33,64,"gi|392301660|gb|JQ901456.1|Human_respiratory_syncytial_virus|25_Nov_03|2003|Netherlands|EU"
"34",34,67,"gi|505581668|gb|KC297392.1|Human_respiratory_syncytial_virus_A|2007|2007|China|AS"
"35",35,243,"gi|322836031|gb|HQ731779.1|Human_respiratory_syncytial_virus|2006|2006|Thailand|AS"
"36",36,69,"gi|558651670|gb|KF826846.1|HRSV|15_May_08|2008|Argentina|SA"
"37",37,68,"gi|558651718|gb|KF826850.1|HRSV|2008|2008|USA|NA"
"38",38,69,"gi|558651610|gb|KF826841.1|HRSV|02_May_07|2007|Argentina|SA"
"39",39,69,"gi|558651551|gb|KF826836.1|HRSV|04_Jan_06|2006|Mexico|NA"
"40",40,69,"gi|558651563|gb|KF826837.1|HRSV|20_Jan_06|2006|Mexico|NA"
"41",41,68,"gi|458599811|gb|JX198122.1|HRSV|Nov_04|2004|USA|NA"
"42",42,68,"gi|458599747|gb|JX198106.1|HRSV|Jan_05|2005|USA|NA"
"43",43,69,"gi|558651327|gb|KF826816.1|HRSV|19_Dec_05|2005|Mexico|NA"
"44",44,263,"gi|443412040|gb|JX513296.1|Human_respiratory_syncytial_virus|2003|2003|Brazil|SA"
"45",45,243,"gi|322836027|gb|HQ731777.1|Human_respiratory_syncytial_virus|2006|2006|Thailand|AS"
"46",46,264,"gi|443411990|gb|JX513271.1|Human_respiratory_syncytial_virus|2006|2006|Brazil|SA"
"47",47,264,"gi|443411988|gb|JX513270.1|Human_respiratory_syncytial_virus|2006|2006|Brazil|SA"
"48",48,243,"gi|322836033|gb|HQ731780.1|Human_respiratory_syncytial_virus|2006|2006|Thailand|AS"
"49",49,263,"gi|443412174|gb|JX513363.1|Human_respiratory_syncytial_virus|2006|2006|Brazil|SA"
"50",50,81,"gi|558651503|gb|KF826832.1|HRSV|19_Mar_09|2009|Italy|EU"
"51",51,904,"gi|353441613|gb|JN257687.1|Human_respiratory_syncytial_virus|12_Jan_11|2011|Canada|NA"
"52",52,65,"gi|392301876|gb|JX015487.1|Human_respiratory_syncytial_virus|02_Jan_06|2006|Netherlands|EU"
"53",53,67,"gi|558651431|gb|KF826826.1|HRSV|24_Dec_04|2004|Mexico|NA"
"54",54,65,"gi|458599767|gb|JX198111.1|HRSV|Feb_05|2005|USA|NA"
"55",55,68,"gi|458599791|gb|JX198117.1|HRSV|Nov_04|2004|USA|NA"
"56",56,66,"gi|458599807|gb|JX198121.1|HRSV|Nov_04|2004|USA|NA"
"57",57,66,"gi|458599815|gb|JX198123.1|HRSV|Nov_04|2004|USA|NA"
"58",58,66,"gi|558651455|gb|KF826828.1|HRSV|04_Jun_04|2004|Argentina|SA"
"59",59,67,"gi|458599843|gb|JX198130.1|HRSV|Dec_04|2004|USA|NA"
"60",60,67,"gi|458599819|gb|JX198124.1|HRSV|Nov_04|2004|USA|NA"
