"","num","Differences","sequencename"
"1",1,320,"gi|530354323|gb|KC013303.1|Human_parvovirus_B19|2007|2007|Brazil|SA"
"2",2,33,"gi|530354509|gb|KC013340.1|Human_parvovirus_B19|2007|2007|Brazil|SA"
"3",3,40,"gi|391881483|gb|JN211185.1|Human_parvovirus_B19|Apr_2003|2003|Netherlands|EU"
"4",4,37,"gi|391881423|gb|JN211170.1|Human_parvovirus_B19|May_2003|2003|Netherlands|EU"
"5",5,42,"gi|391881443|gb|JN211175.1|Human_parvovirus_B19|Jul_2008|2008|Netherlands|EU"
"6",6,46,"gi|391881303|gb|JN211140.1|Human_parvovirus_B19|Apr_2009|2009|Netherlands|EU"
"7",7,1999,"gi|310893945|gb|HQ130278.1|Human_parvovirus_B19|30_Apr_2009|2009|Taiwan|AS"
"8",8,51,"gi|391881419|gb|JN211169.1|Human_parvovirus_B19|Mar_2006|2006|Netherlands|EU"
"9",9,49,"gi|391881359|gb|JN211154.1|Human_parvovirus_B19|Apr_2003|2003|Netherlands|EU"
"10",10,58,"gi|391881431|gb|JN211172.1|Human_parvovirus_B19|Dec_2008|2008|Netherlands|EU"
"11",11,45,"gi|391881235|gb|JN211123.1|Human_parvovirus_B19|Apr_2004|2004|Netherlands|EU"
"12",12,55,"gi|391881391|gb|JN211162.1|Human_parvovirus_B19|Oct_2004|2004|Netherlands|EU"
"13",13,47,"gi|391881255|gb|JN211128.1|Human_parvovirus_B19|Mar_2006|2006|Netherlands|EU"
"14",14,46,"gi|391881271|gb|JN211132.1|Human_parvovirus_B19|Feb_2006|2006|Netherlands|EU"
"15",15,51,"gi|391881247|gb|JN211126.1|Human_parvovirus_B19|Feb_2009|2009|Netherlands|EU"
"16",16,53,"gi|391881327|gb|JN211146.1|Human_parvovirus_B19|May_2009|2009|Netherlands|EU"
"17",17,54,"gi|391881439|gb|JN211174.1|Human_parvovirus_B19|Aug_2009|2009|Netherlands|EU"
"18",18,54,"gi|391881283|gb|JN211135.1|Human_parvovirus_B19|Jul_2008|2008|Netherlands|EU"
"19",19,51,"gi|391881415|gb|JN211168.1|Human_parvovirus_B19|Jun_2008|2008|Netherlands|EU"
"20",20,51,"gi|391881387|gb|JN211161.1|Human_parvovirus_B19|Jul_2006|2006|Netherlands|EU"
"21",21,53,"gi|391881279|gb|JN211134.1|Human_parvovirus_B19|Jul_2004|2004|Netherlands|EU"
