"","num","Differences","sequencename"
"1",1,322,"gi|392508088|gb|JX009097.1|CV_A2|2009|2009|Denmark|EU"
"2",2,155,"gi|9626677|ref|NC_001472.1|Enterovirus_B|NA|NA|NA|NA"
"3",3,118,"gi|309386774|gb|HQ005451.1|CV_A16|Nov_2009|2009|China|AS"
"4",4,112,"gi|295885181|gb|GQ279368.1|CV_A16|May_2008|2008|China|AS"
"5",5,126,"gi|260079408|gb|FJ598115.1|CV_A16|May_2008|2008|China|AS"
"6",6,128,"gi|309386750|gb|HQ005439.1|CV_A16|Jul_2009|2009|China|AS"
"7",7,118,"gi|260079422|gb|FJ598122.1|CV_A16|May_2008|2008|China|AS"
"8",8,112,"gi|260079418|gb|FJ598120.1|CV_A16|May_2008|2008|China|AS"
"9",9,113,"gi|309386730|gb|HQ005429.1|CV_A16|Feb_2009|2009|China|AS"
"10",10,110,"gi|260079402|gb|FJ598112.1|CV_A16|May_2008|2008|China|AS"
"11",11,119,"gi|309386746|gb|HQ005437.1|CV_A16|Jun_2009|2009|China|AS"
"12",12,146,"gi|309386780|gb|HQ005454.1|CV_A16|Sep_2009|2009|China|AS"
"13",13,101,"gi|443404541|gb|KC117317.1|CV_A16|2009|2009|China|AS"
"14",14,108,"gi|374413481|gb|JN674176.1|CV_A16|2010|2010|China|AS"
"15",15,107,"gi|443404543|gb|KC117318.1|CV_A16|2009|2009|China|AS"
"16",16,106,"gi|260079430|gb|FJ598126.1|CV_A16|May_2008|2008|China|AS"
"17",17,107,"gi|260079406|gb|FJ598114.1|CV_A16|May_2008|2008|China|AS"
"18",18,130,"gi|260079410|gb|FJ598116.1|CV_A16|May_2008|2008|China|AS"
"19",19,165,"gi|260079432|gb|FJ598127.1|CV_A16|May_2008|2008|China|AS"
"20",20,179,"gi|260079434|gb|FJ598128.1|CV_A16|May_2008|2008|China|AS"
"21",21,113,"gi|260079412|gb|FJ598117.1|CV_A16|May_2008|2008|China|AS"
"22",22,106,"gi|260079414|gb|FJ598118.1|CV_A16|May_2008|2008|China|AS"
"23",23,108,"gi|260079420|gb|FJ598121.1|CV_A16|May_2008|2008|China|AS"
"24",24,118,"gi|260079416|gb|FJ598119.1|CV_A16|May_2008|2008|China|AS"
"25",25,110,"gi|260079428|gb|FJ598125.1|CV_A16|May_2008|2008|China|AS"
"26",26,145,"gi|309386798|gb|HQ005463.1|CV_A16|Jan_2009|2009|China|AS"
"27",27,105,"gi|295885187|gb|GQ279371.1|CV_A16|May_2008|2008|China|AS"
"28",28,116,"gi|309386760|gb|HQ005444.1|CV_A16|Aug_2009|2009|China|AS"
"29",29,114,"gi|309386762|gb|HQ005445.1|CV_A16|Aug_2009|2009|China|AS"
"30",30,108,"gi|260079404|gb|FJ598113.1|CV_A16|May_2008|2008|China|AS"
"31",31,108,"gi|260079426|gb|FJ598124.1|CV_A16|May_2008|2008|China|AS"
"32",32,106,"gi|260079424|gb|FJ598123.1|CV_A16|May_2008|2008|China|AS"
"33",33,354,"gi|392508068|gb|JX009087.1|CV_A2|2009|2009|Denmark|EU"
"34",34,130,"gi|83627369|dbj|AB244333.1|CV_A5|2005|2005|Japan|AS"
"35",35,132,"gi|83627367|dbj|AB244332.1|CV_A5|2003|2003|Japan|AS"
"36",36,69,"gi|393713998|gb|JN874547.1|EV_A71|1970|1970|USA|NA"
"37",37,56,"gi|597438366|emb|HG934189.1|EV_A71|1987|1987|Germany|EU"
"38",38,52,"gi|393714002|gb|JN874549.1|EV_A71|1986|1986|Netherlands|EU"
"39",39,60,"gi|606214152|dbj|AB921142.1|EV_A71|2013_08_07|NA|Japan|AS"
"40",40,65,"gi|546363349|gb|KF306100.1|EV_A71|05_Nov_2011|2011|Taiwan|AS"
"41",41,66,"gi|521969549|dbj|AB830079.1|EV_A71|25_Feb_2013|2013|Japan|AS"
"42",42,65,"gi|521969547|dbj|AB830078.1|EV_A71|11_Jun_2013|2013|Japan|AS"
"43",43,58,"gi|393714008|gb|JN874552.1|EV_A71|2008|2008|Taiwan|AS"
"44",44,57,"gi|119359920|dbj|AB286954.1|EV_A71|26_JUN_2003|2003|Japan|AS"
"45",45,58,"gi|393714006|gb|JN874551.1|EV_A71|2002|2002|Taiwan|AS"
"46",46,59,"gi|393714004|gb|JN874550.1|EV_A71|1997|1997|Malaysia|AS"
