"","num","Differences","sequencename"
"1",1,69,"gi|213012659|gb|EU914211.1|Measles_virus|07_Jun_94|1994|Taiwan|AS"
"2",2,74,"gi|327420005|gb|JF728847.1|Measles_virus|17_Apr_00|2000|Viet_Nam|AS"
"3",3,72,"gi|327420003|gb|JF728846.1|Measles_virus|11_May_00|2000|Viet_Nam|AS"
"4",4,68,"gi|327420007|gb|JF728848.1|Measles_virus|04_Apr_00|2000|Viet_Nam|AS"
"5",5,76,"gi|327420001|gb|JF728845.1|Measles_virus|29_Mar_00|2000|Viet_Nam|AS"
"6",6,87,"gi|363540974|gb|JN997498.1|Measles_virus_genotype_H1|2004|2004|China|AS"
"7",7,81,"gi|363541004|gb|JN997513.1|Measles_virus_genotype_H1|2006|2006|China|AS"
"8",8,91,"gi|576735045|gb|KJ136534.1|Measles_virus_genotype_H1|11_Dec_08|2008|China|AS"
"9",9,88,"gi|376373181|gb|JQ660337.1|Measles_virus_genotype_H1|29_Apr_08|2008|China|AS"
"10",10,84,"gi|363540994|gb|JN997508.1|Measles_virus_genotype_H1|2006|2006|China|AS"
"11",11,81,"gi|363541018|gb|JN997520.1|Measles_virus_genotype_H1|2008|2008|China|AS"
"12",12,93,"gi|214010930|gb|FJ429361.1|Measles_virus|24_Jan_07|2007|China|AS"
"13",13,84,"gi|363540970|gb|JN997496.1|Measles_virus_genotype_H1|2004|2004|China|AS"
"14",14,84,"gi|363541000|gb|JN997511.1|Measles_virus_genotype_H1|2006|2006|China|AS"
"15",15,89,"gi|363541016|gb|JN997519.1|Measles_virus_genotype_H1|2008|2008|China|AS"
"16",16,87,"gi|376373205|gb|JQ660349.1|Measles_virus_genotype_H1|24_Jun_11|2011|China|AS"
"17",17,87,"gi|376373199|gb|JQ660346.1|Measles_virus_genotype_H1|10_Mar_11|2011|China|AS"
"18",18,89,"gi|376373203|gb|JQ660348.1|Measles_virus_genotype_H1|03_Jun_11|2011|China|AS"
"19",19,86,"gi|376373197|gb|JQ660345.1|Measles_virus_genotype_H1|12_May_10|2010|China|AS"
"20",20,87,"gi|376373195|gb|JQ660344.1|Measles_virus_genotype_H1|08_May_10|2010|China|AS"
"21",21,87,"gi|376373193|gb|JQ660343.1|Measles_virus_genotype_H1|26_Apr_10|2010|China|AS"
"22",22,87,"gi|376373191|gb|JQ660342.1|Measles_virus_genotype_H1|21_Apr_10|2010|China|AS"
"23",23,87,"gi|376373187|gb|JQ660340.1|Measles_virus_genotype_H1|25_Mar_10|2010|China|AS"
"24",24,88,"gi|576735043|gb|KJ136533.1|Measles_virus_genotype_H1|25_Nov_08|2008|China|AS"
"25",25,84,"gi|363540972|gb|JN997497.1|Measles_virus_genotype_H1|2004|2004|China|AS"
"26",26,86,"gi|576735039|gb|KJ136531.1|Measles_virus_genotype_H1|19_Dec_03|2003|China|AS"
"27",27,86,"gi|576735037|gb|KJ136530.1|Measles_virus_genotype_H1|19_Dec_03|2003|China|AS"
"28",28,84,"gi|363540976|gb|JN997499.1|Measles_virus_genotype_H1|2005|2005|China|AS"
"29",29,86,"gi|376373179|gb|JQ660336.1|Measles_virus_genotype_H1|29_Apr_08|2008|China|AS"
"30",30,87,"gi|376373185|gb|JQ660339.1|Measles_virus_genotype_H1|23_Apr_09|2009|China|AS"
"31",31,87,"gi|363541020|gb|JN997521.1|Measles_virus_genotype_H1|2008|2008|China|AS"
"32",32,89,"gi|376373189|gb|JQ660341.1|Measles_virus_genotype_H1|29_Mar_10|2010|China|AS"
"33",33,85,"gi|376373183|gb|JQ660338.1|Measles_virus_genotype_H1|18_Mar_09|2009|China|AS"
"34",34,87,"gi|363541032|gb|JN997527.1|Measles_virus_genotype_H1|2009|2009|China|AS"
"35",35,83,"gi|376373153|gb|JQ660323.1|Measles_virus_genotype_H1|02_Mar_05|2005|China|AS"
"36",36,82,"gi|363540992|gb|JN997507.1|Measles_virus_genotype_H1|2006|2006|China|AS"
"37",37,80,"gi|213012671|gb|EU914217.1|Measles_virus|04_Jul_02|2002|Taiwan|AS"
"38",38,79,"gi|363540978|gb|JN997500.1|Measles_virus_genotype_H1|2005|2005|China|AS"
"39",39,80,"gi|363540968|gb|JN997495.1|Measles_virus_genotype_H1|2004|2004|China|AS"
"40",40,87,"gi|376373171|gb|JQ660332.1|Measles_virus_genotype_H1|20_Mar_08|2008|China|AS"
"41",41,85,"gi|376373155|gb|JQ660324.1|Measles_virus_genotype_H1|09_Mar_05|2005|China|AS"
"42",42,85,"gi|363541008|gb|JN997515.1|Measles_virus_genotype_H1|2007|2007|China|AS"
"43",43,85,"gi|363540966|gb|JN997494.1|Measles_virus_genotype_H1|2003|2003|China|AS"
"44",44,85,"gi|213012681|gb|EU914222.1|Measles_virus|16_May_03|2003|Taiwan|AS"
"45",45,85,"gi|576735049|gb|KJ136536.1|Measles_virus_genotype_H1|27_Apr_09|2009|China|AS"
"46",46,85,"gi|576735047|gb|KJ136535.1|Measles_virus_genotype_H1|27_Apr_09|2009|China|AS"
"47",47,85,"gi|376373177|gb|JQ660335.1|Measles_virus_genotype_H1|16_Apr_08|2008|China|AS"
"48",48,85,"gi|376373173|gb|JQ660333.1|Measles_virus_genotype_H1|20_Mar_08|2008|China|AS"
"49",49,84,"gi|376373175|gb|JQ660334.1|Measles_virus_genotype_H1|20_Mar_08|2008|China|AS"
"50",50,84,"gi|376373167|gb|JQ660330.1|Measles_virus_genotype_H1|27_Apr_07|2007|China|AS"
"51",51,84,"gi|363541030|gb|JN997526.1|Measles_virus_genotype_H1|2009|2009|China|AS"
"52",52,84,"gi|363541028|gb|JN997525.1|Measles_virus_genotype_H1|2009|2009|China|AS"
"53",53,82,"gi|363541010|gb|JN997516.1|Measles_virus_genotype_H1|2008|2008|China|AS"
"54",54,83,"gi|376373165|gb|JQ660329.1|Measles_virus_genotype_H1|06_Apr_07|2007|China|AS"
"55",55,83,"gi|376373163|gb|JQ660328.1|Measles_virus_genotype_H1|06_Apr_07|2007|China|AS"
"56",56,88,"gi|576735041|gb|KJ136532.1|Measles_virus_genotype_H1|29_May_07|2007|China|AS"
"57",57,91,"gi|214010932|gb|FJ429362.1|Measles_virus|29_May_07|2007|China|AS"
"58",58,88,"gi|214010934|gb|FJ429363.1|Measles_virus|29_May_07|2007|China|AS"
"59",59,85,"gi|363541022|gb|JN997522.1|Measles_virus_genotype_H1|2008|2008|China|AS"
"60",60,89,"gi|363540996|gb|JN997509.1|Measles_virus_genotype_H1|2006|2006|China|AS"
"61",61,83,"gi|363540984|gb|JN997503.1|Measles_virus_genotype_H1|2006|2006|China|AS"
"62",62,83,"gi|363540980|gb|JN997501.1|Measles_virus_genotype_H1|2005|2005|China|AS"
"63",63,81,"gi|363540958|gb|JN997490.1|Measles_virus_genotype_H1|2002|2002|China|AS"
"64",64,84,"gi|363540964|gb|JN997493.1|Measles_virus_genotype_H1|2003|2003|China|AS"
"65",65,83,"gi|363541014|gb|JN997518.1|Measles_virus_genotype_H1|2008|2008|China|AS"
"66",66,83,"gi|213012683|gb|EU914223.1|Measles_virus|27_Sep_02|2002|Taiwan|AS"
"67",67,83,"gi|213012675|gb|EU914219.1|Measles_virus|27_Sep_02|2002|Taiwan|AS"
"68",68,82,"gi|213012677|gb|EU914220.1|Measles_virus|05_Oct_02|2002|Taiwan|AS"
