"","num","Differences","sequencename"
"1",1,812,"gi|371538115|gb|CY104619.1|A/DaNang/DN434/2008_H3N2_|11_Nov_2008|2008|Viet_Nam|AS"
"2",2,773,"gi|8486152|ref|NC_002207.1|Influenza_B_virus|NA|NA|NA|NA"
"3",3,592,"gi|634066648|gb|CY187626.1|A/Houston/JMM_42/2012_H3N2_|02_Dec_2012|2012|USA|NA"
"4",4,361,"gi|426308725|gb|CY100554.1|A/Mexico/InDRE2118/2005_H3N2_|2005|2005|Mexico|NA"
"5",5,301,"gi|611960877|gb|KJ623709.1|A/Pavia/07/2014_H3N2_|Jan_2014|2014|Italy|EU"
"6",6,297,"gi|402244083|emb|HE774666.1|A/swine/Spain/SF32071/2007_H3N2_|2007|2007|Spain|EU"
"7",7,304,"gi|224979402|gb|FJ798772.1|A/swine/Hungary/13509/2007_H3N2_|Aug_2007|2007|Hungary|EU"
"8",8,192,"gi|392338196|gb|CY121060.1|A/Guangdong_Luohu/1256/2009_H3N2_|2009|2009|China|AS"
"9",9,169,"gi|289900838|gb|GU937743.1|A/Kansas/13/2009_H3N2_|27_Jul_2009|2009|USA|NA"
"10",10,183,"gi|345722624|gb|JN655537.1|A/Pennsylvania/09/2011_H3N2_|20_Aug_2011|2011|USA|NA"
"11",11,182,"gi|345522854|gb|JN638733.1|A/Indiana/08/2011_H3N2_|27_Jul_2011|2011|USA|NA"
"12",12,182,"gi|358257286|gb|JQ070800.1|A/Indiana/08/2011_H3N2_|27_Jul_2011|2011|USA|NA"
"13",13,183,"gi|358257247|gb|JQ070784.1|A/Indiana/10/2011_H3N2_|22_Oct_2011|2011|USA|NA"
"14",14,183,"gi|356598746|gb|JN992750.1|A/Indiana/10/2011_H3N2_|22_Oct_2011|2011|USA|NA"
"15",15,184,"gi|358257267|gb|JQ070792.1|A/Indiana/10/2011_H3N2_|22_Oct_2011|2011|USA|NA"
"16",16,180,"gi|363805017|gb|JQ290164.1|A/West_Virginia/06/2011_H3N2_|21_Nov_2011|2011|USA|NA"
"17",17,178,"gi|363805074|gb|JQ290188.1|A/Iowa/09/2011_H3N2_|14_Nov_2011|2011|USA|NA"
"18",18,178,"gi|363805055|gb|JQ290180.1|A/Iowa/07/2011_H3N2_|14_Nov_2011|2011|USA|NA"
"19",19,178,"gi|363805036|gb|JQ290172.1|A/Iowa/08/2011_H3N2_|14_Nov_2011|2011|USA|NA"
"20",20,178,"gi|358257228|gb|JQ070776.1|A/Iowa/09/2011_H3N2_|14_Nov_2011|2011|USA|NA"
"21",21,179,"gi|358257209|gb|JQ070768.1|A/Iowa/08/2011_H3N2_|14_Nov_2011|2011|USA|NA"
"22",22,180,"gi|353331772|gb|JN866186.1|A/Maine/06/2011_H3N2_|10_Oct_2011|2011|USA|NA"
"23",23,179,"gi|409676389|gb|JX905419.1|A/Utah/10/2012_H3N2_|29_Mar_2012|2012|USA|NA"
"24",24,178,"gi|409676372|gb|JX905414.1|A/Utah/10/2012_H3N2_|29_Mar_2012|2012|USA|NA"
"25",25,121,"gi|392338783|gb|CY121077.1|A/Victoria/210/2009_H3N2_|2009|2009|Australia|OC"
"26",26,234,"gi|82501463|gb|CY006307.1|A/Hong_Kong/50/1972_H3N2_|1972|1972|Hong_Kong|EU"
"27",27,235,"gi|383213229|gb|CY112289.1|A/Hong_Kong/107/1971_H3N2_|1971|1971|Hong_Kong|EU"
"28",28,233,"gi|77861866|gb|CY003552.1|A/Hong_Kong/6/1972_H3N2_|1972|1972|Hong_Kong|EU"
"29",29,230,"gi|82546793|gb|CY006683.1|A/Hong_Kong/46/1971_H3N2_|1971|1971|Hong_Kong|EU"
"30",30,322,"gi|631491724|gb|CY006219.2|A/Memphis/2/1971_H3N2_|1971|1971|USA|NA"
"31",31,220,"gi|73666574|gb|CY002496.1|A/Memphis/1/1971_H3N2_|1971|1971|USA|NA"
"32",32,216,"gi|383213210|gb|CY112281.1|A/Bilthoven/6449/1971_H3N2_|1971|1971|Netherlands|EU"
"33",33,229,"gi|83026945|gb|CY006763.1|A/Nanjing/49/1977_H3N2_|1977|1977|China|AS"
"34",34,226,"gi|82501482|gb|CY006299.1|A/Hong_Kong/3/1969_H3N2_|1969|1969|Hong_Kong|EU"
"35",35,224,"gi|383213172|gb|CY112265.1|A/Bilthoven/93/1970_H3N2_|1970|1970|Netherlands|EU"
"36",36,224,"gi|152963153|gb|CY022946.1|A/Albany/3/1970_H3N2_|1970|1970|USA|NA"
"37",37,224,"gi|383213191|gb|CY112273.1|A/Bilthoven/2668/1970_H3N2_|1970|1970|Netherlands|EU"
"38",38,220,"gi|134047636|gb|CY021117.1|A/Albany/6/1970_H3N2_|1970|1970|USA|NA"
"39",39,223,"gi|152963134|gb|CY022938.1|A/Albany/1/1970_H3N2_|1970|1970|USA|NA"
"40",40,222,"gi|134047560|gb|CY021085.1|A/Albany/2/1970_H3N2_|1970|1970|USA|NA"
"41",41,224,"gi|383213153|gb|CY112257.1|A/Bilthoven/808/1969_H3N2_|1969|1969|Netherlands|EU"
"42",42,222,"gi|383276583|gb|CY113053.1|A/Bilthoven/17938/1969_H3N2_|1969|1969|Netherlands|EU"
"43",43,224,"gi|145279135|gb|CY021845.1|A/Albany/10/1968_H3N2_|1968|1968|USA|NA"
"44",44,230,"gi|133982200|gb|CY020525.1|A/Albany/18/1968_H3N2_|1968|1968|USA|NA"
"45",45,224,"gi|134047617|gb|CY021109.1|A/Albany/17/1968_H3N2_|1968|1968|USA|NA"
"46",46,223,"gi|319899615|gb|CY080515.1|A/Hong_Kong/1_4_MA21_1/1968_H3N2_|02_Jan_1968|1968|Hong_Kong|EU"
"47",47,230,"gi|303305337|gb|HM641177.1|A/Hong_Kong/1_10_MA21_3/1968_H3N2_|1968|1968|Hong_Kong|EU"
"48",48,229,"gi|303305335|gb|HM641176.1|A/Hong_Kong/1_10_MA21_2/1968_H3N2_|1968|1968|Hong_Kong|EU"
"49",49,229,"gi|206236504|gb|FJ215849.1|A/Hong_Kong/HK10MA21_4/2008_H3N2_|2008|2008|Hong_Kong|EU"
"50",50,231,"gi|206236508|gb|FJ215851.1|A/Hong_Kong/HK11MA21_2/2008_H3N2_|2008|2008|Hong_Kong|EU"
"51",51,229,"gi|194304726|gb|CY033545.1|A/Hong_Kong/1_11_MA21_2/1968_H3N2_|1968|1968|Hong_Kong|EU"
"52",52,229,"gi|194304707|gb|CY033537.1|A/Hong_Kong/1_11_MA21_1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"53",53,230,"gi|206236512|gb|FJ215853.1|A/Hong_Kong/HK11MA21_4/2008_H3N2_|2008|2008|Hong_Kong|EU"
"54",54,230,"gi|206236506|gb|FJ215850.1|A/Hong_Kong/HK11MA21_1/2008_H3N2_|2008|2008|Hong_Kong|EU"
"55",55,231,"gi|206236518|gb|FJ215856.1|A/Hong_Kong/HK12MA21_3/2008_H3N2_|2008|2008|Hong_Kong|EU"
"56",56,231,"gi|206236516|gb|FJ215855.1|A/Hong_Kong/HK12MA21_2/2008_H3N2_|2008|2008|Hong_Kong|EU"
"57",57,231,"gi|206236514|gb|FJ215854.1|A/Hong_Kong/HK12MA21_1/2008_H3N2_|2008|2008|Hong_Kong|EU"
"58",58,230,"gi|194304764|gb|CY033561.1|A/Hong_Kong/1_12_MA21_1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"59",59,230,"gi|194352111|gb|CY034036.1|A/Hong_Kong/1_12_MA21_3/1968_H3N2_|1968|1968|Hong_Kong|EU"
"60",60,227,"gi|194304783|gb|CY033569.1|A/Hong_Kong/1_12_MA21_2/1968_H3N2_|1968|1968|Hong_Kong|EU"
"61",61,221,"gi|383213134|gb|CY112249.1|A/Hong_Kong/1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"62",62,231,"gi|206236456|gb|FJ215825.1|A/Hong_Kong/HK1MA21_3/2008_H3N2_|2008|2008|Hong_Kong|EU"
"63",63,229,"gi|206236452|gb|FJ215823.1|A/Hong_Kong/HK1MA21_1/2008_H3N2_|2008|2008|Hong_Kong|EU"
"64",64,230,"gi|206236414|gb|FJ215804.1|A/Hong_Kong/HKMA12B/2008_H3N2_|2008|2008|Hong_Kong|EU"
"65",65,229,"gi|206236412|gb|FJ215803.1|A/Hong_Kong/HKMA12A/2008_H3N2_|2008|2008|Hong_Kong|EU"
"66",66,224,"gi|319899632|gb|CY080523.1|A/Hong_Kong/1_10_MA21_1/1968_H3N2_|03_Jan_1968|1968|Hong_Kong|EU"
"67",67,229,"gi|303305333|gb|HM641175.1|A/Hong_Kong/1_10_MA21_1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"68",68,228,"gi|194352092|gb|CY034028.1|A/Hong_Kong/1_8_MA21_3/1968_H3N2_|1968|1968|Hong_Kong|EU"
"69",69,230,"gi|206236488|gb|FJ215841.1|A/Hong_Kong/HK8MA21_3/2008_H3N2_|2008|2008|Hong_Kong|EU"
"70",70,230,"gi|206236490|gb|FJ215842.1|A/Hong_Kong/HK8MA21_4/2008_H3N2_|2008|2008|Hong_Kong|EU"
"71",71,231,"gi|206236486|gb|FJ215840.1|A/Hong_Kong/HK8MA21_2/2008_H3N2_|2008|2008|Hong_Kong|EU"
"72",72,231,"gi|206236468|gb|FJ215831.1|A/Hong_Kong/HK4MA21_2/2008_H3N2_|2008|2008|Hong_Kong|EU"
"73",73,230,"gi|303305327|gb|HM641172.1|A/Hong_Kong/1_4_MA21_1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"74",74,230,"gi|206236466|gb|FJ215830.1|A/Hong_Kong/HK4MA21_1/2008_H3N2_|2008|2008|Hong_Kong|EU"
"75",75,239,"gi|536191251|dbj|AB847411.1|A/Aichi/2_1/1968_H3N2_|1968|1968|Japan|AS"
"76",76,229,"gi|194304745|gb|CY033553.1|A/Hong_Kong/1_11_MA21_3/1968_H3N2_|1968|1968|Hong_Kong|EU"
"77",77,230,"gi|206236510|gb|FJ215852.1|A/Hong_Kong/HK11MA21_3/2008_H3N2_|2008|2008|Hong_Kong|EU"
"78",78,223,"gi|523511600|gb|CY147446.1|A/Northern_Territories/60_JY2/1968_H3N2_|1968|1968|Australia|OC"
"79",79,223,"gi|523511580|gb|CY147438.1|A/Hong_Kong/JY2/1968_H3N2_|1968|1968|Hong_Kong|EU"
"80",80,224,"gi|194352073|gb|CY034020.1|A/Hong_Kong/1_8_MA21_1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"81",81,230,"gi|206236484|gb|FJ215839.1|A/Hong_Kong/HK8MA21_1/2008_H3N2_|2008|2008|Hong_Kong|EU"
"82",82,228,"gi|206236500|gb|FJ215847.1|A/Hong_Kong/HK10MA21_2/2008_H3N2_|2008|2008|Hong_Kong|EU"
"83",83,230,"gi|206236470|gb|FJ215832.1|A/Hong_Kong/HK4MA21_3/2008_H3N2_|2008|2008|Hong_Kong|EU"
"84",84,229,"gi|206236430|gb|FJ215812.1|A/Hong_Kong/HK1/2008_H3N2_|2008|2008|Hong_Kong|EU"
"85",85,229,"gi|206236434|gb|FJ215814.1|A/Hong_Kong/HK4/2008_H3N2_|2008|2008|Hong_Kong|EU"
"86",86,229,"gi|206236444|gb|FJ215819.1|A/Hong_Kong/HK9/2008_H3N2_|2008|2008|Hong_Kong|EU"
"87",87,229,"gi|206236446|gb|FJ215820.1|A/Hong_Kong/HK10/2008_H3N2_|2008|2008|Hong_Kong|EU"
"88",88,229,"gi|206236448|gb|FJ215821.1|A/Hong_Kong/HK11/2008_H3N2_|2008|2008|Hong_Kong|EU"
"89",89,229,"gi|206236450|gb|FJ215822.1|A/Hong_Kong/HK12/2008_H3N2_|2008|2008|Hong_Kong|EU"
"90",90,229,"gi|206236454|gb|FJ215824.1|A/Hong_Kong/HK1MA21_2/2008_H3N2_|2008|2008|Hong_Kong|EU"
"91",91,229,"gi|206236458|gb|FJ215826.1|A/Hong_Kong/HK1MA21_4/2008_H3N2_|2008|2008|Hong_Kong|EU"
"92",92,229,"gi|206236502|gb|FJ215848.1|A/Hong_Kong/HK10MA21_3/2008_H3N2_|2008|2008|Hong_Kong|EU"
"93",93,223,"gi|193805151|gb|CY033017.1|A/Hong_Kong/1_4/1968_H3N2_|1968|1968|Hong_Kong|EU"
"94",94,229,"gi|193805265|gb|CY033065.1|A/Hong_Kong/1_12/1968_H3N2_|1968|1968|Hong_Kong|EU"
"95",95,222,"gi|85816051|gb|CY008156.1|A/Beijing/1/1968_H3N2_|1968|1968|China|AS"
"96",96,222,"gi|392340224|gb|CY121117.1|A/Aichi/2/1968_H3N2_|1968|1968|Japan|AS"
"97",97,230,"gi|194352035|gb|CY034004.1|A/Hong_Kong/1_11/1968_H3N2_|1968|1968|Hong_Kong|EU"
"98",98,228,"gi|193805227|gb|CY033049.1|A/Hong_Kong/1_9/1968_H3N2_|1968|1968|Hong_Kong|EU"
"99",99,228,"gi|193805113|gb|CY033001.1|A/Hong_Kong/1_1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"100",100,228,"gi|193805246|gb|CY033057.1|A/Hong_Kong/1_10/1968_H3N2_|1968|1968|Hong_Kong|EU"
"101",101,231,"gi|303305325|gb|HM641171.1|A/Hong_Kong/1_5_MA21_1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"102",102,231,"gi|206236472|gb|FJ215833.1|A/Hong_Kong/HK5MA21_1/2008_H3N2_|2008|2008|Hong_Kong|EU"
"103",103,230,"gi|303305323|gb|HM641170.1|A/Hong_Kong/1_5_MA21_3/1968_H3N2_|1968|1968|Hong_Kong|EU"
"104",104,230,"gi|206236476|gb|FJ215835.1|A/Hong_Kong/HK5MA21_3/2008_H3N2_|2008|2008|Hong_Kong|EU"
"105",105,229,"gi|194352054|gb|CY034012.1|A/Hong_Kong/1_6_MA21_2/1968_H3N2_|1968|1968|Hong_Kong|EU"
"106",106,230,"gi|206236480|gb|FJ215837.1|A/Hong_Kong/HK6MA21_2/2008_H3N2_|2008|2008|Hong_Kong|EU"
"107",107,229,"gi|303305319|gb|HM641168.1|A/Hong_Kong/1_6_MA21_2/1968_H3N2_|1968|1968|Hong_Kong|EU"
"108",108,229,"gi|206236482|gb|FJ215838.1|A/Hong_Kong/HK6MA21_3/2008_H3N2_|2008|2008|Hong_Kong|EU"
"109",109,230,"gi|206236474|gb|FJ215834.1|A/Hong_Kong/HK5MA21_2/2008_H3N2_|2008|2008|Hong_Kong|EU"
"110",110,229,"gi|303305321|gb|HM641169.1|A/Hong_Kong/1_6_MA21_1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"111",111,229,"gi|206236478|gb|FJ215836.1|A/Hong_Kong/HK6MA21_1/2008_H3N2_|2008|2008|Hong_Kong|EU"
"112",112,223,"gi|194304688|gb|CY033529.1|A/Hong_Kong/1_9_MA21_3/1968_H3N2_|1968|1968|Hong_Kong|EU"
"113",113,230,"gi|206236496|gb|FJ215845.1|A/Hong_Kong/HK9MA21_3/2008_H3N2_|2008|2008|Hong_Kong|EU"
"114",114,227,"gi|194304669|gb|CY033521.1|A/Hong_Kong/1_9_MA21_2/1968_H3N2_|1968|1968|Hong_Kong|EU"
"115",115,228,"gi|206236494|gb|FJ215844.1|A/Hong_Kong/HK9MA21_2/2008_H3N2_|2008|2008|Hong_Kong|EU"
"116",116,228,"gi|194304650|gb|CY033513.1|A/Hong_Kong/1_9_MA21_1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"117",117,229,"gi|206236492|gb|FJ215843.1|A/Hong_Kong/HK9MA21_1/2008_H3N2_|2008|2008|Hong_Kong|EU"
"118",118,229,"gi|303305331|gb|HM641174.1|A/Hong_Kong/1_2_MA21_2/1968_H3N2_|1968|1968|Hong_Kong|EU"
"119",119,229,"gi|206236498|gb|FJ215846.1|A/Hong_Kong/HK10MA21_1/2008_H3N2_|2008|2008|Hong_Kong|EU"
"120",120,229,"gi|206236462|gb|FJ215828.1|A/Hong_Kong/HK2MA21_2/2008_H3N2_|2008|2008|Hong_Kong|EU"
"121",121,229,"gi|303305329|gb|HM641173.1|A/Hong_Kong/1_2_MA21_3/1968_H3N2_|1968|1968|Hong_Kong|EU"
"122",122,229,"gi|206236464|gb|FJ215829.1|A/Hong_Kong/HK2MA21_3/2008_H3N2_|2008|2008|Hong_Kong|EU"
"123",123,229,"gi|206236460|gb|FJ215827.1|A/Hong_Kong/HK2MA21_1/2008_H3N2_|2008|2008|Hong_Kong|EU"
"124",124,228,"gi|206236442|gb|FJ215818.1|A/Hong_Kong/HK8/2008_H3N2_|2008|2008|Hong_Kong|EU"
"125",125,228,"gi|206236440|gb|FJ215817.1|A/Hong_Kong/HK7/2008_H3N2_|2008|2008|Hong_Kong|EU"
"126",126,228,"gi|206236438|gb|FJ215816.1|A/Hong_Kong/HK6/2008_H3N2_|2008|2008|Hong_Kong|EU"
"127",127,228,"gi|206236436|gb|FJ215815.1|A/Hong_Kong/HK5/2008_H3N2_|2008|2008|Hong_Kong|EU"
"128",128,228,"gi|206236432|gb|FJ215813.1|A/Hong_Kong/HK2/2008_H3N2_|2008|2008|Hong_Kong|EU"
"129",129,226,"gi|256385302|gb|CY044261.1|A/Hong_Kong/1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"130",130,226,"gi|193805170|gb|CY033025.1|A/Hong_Kong/1_5/1968_H3N2_|1968|1968|Hong_Kong|EU"
"131",131,226,"gi|193805208|gb|CY033041.1|A/Hong_Kong/1_7/1968_H3N2_|1968|1968|Hong_Kong|EU"
"132",132,227,"gi|194352016|gb|CY033996.1|A/Hong_Kong/1_8/1968_H3N2_|1968|1968|Hong_Kong|EU"
"133",133,227,"gi|193805189|gb|CY033033.1|A/Hong_Kong/1_6/1968_H3N2_|1968|1968|Hong_Kong|EU"
"134",134,227,"gi|193805132|gb|CY033009.1|A/Hong_Kong/1_2/1968_H3N2_|1968|1968|Hong_Kong|EU"
"135",135,231,"gi|303305339|gb|HM641178.1|A/Hong_Kong/MA/1968_H3N2_|1968|1968|Hong_Kong|EU"
"136",136,231,"gi|206236428|gb|FJ215811.1|A/Hong_Kong/HKMA20E/2008_H3N2_|2008|2008|Hong_Kong|EU"
"137",137,229,"gi|194351997|gb|CY033988.1|A/Hong_Kong/1_1_MA_12D/1968_H3N2_|1968|1968|Hong_Kong|EU"
"138",138,230,"gi|206236410|gb|FJ215802.1|A/Hong_Kong/HKMA12/2008_H3N2_|2008|2008|Hong_Kong|EU"
"139",139,230,"gi|206236416|gb|FJ215805.1|A/Hong_Kong/HKMA12C/2008_H3N2_|2008|2008|Hong_Kong|EU"
"140",140,230,"gi|206236418|gb|FJ215806.1|A/Hong_Kong/HKMA12D/2008_H3N2_|2008|2008|Hong_Kong|EU"
"141",141,230,"gi|206236422|gb|FJ215808.1|A/Hong_Kong/HKMA20A/2008_H3N2_|2008|2008|Hong_Kong|EU"
"142",142,230,"gi|206236424|gb|FJ215809.1|A/Hong_Kong/HKMA20B/2008_H3N2_|2008|2008|Hong_Kong|EU"
"143",143,230,"gi|194304631|gb|CY033505.1|A/Hong_Kong/1_1_MA_12/1968_H3N2_|1968|1968|Hong_Kong|EU"
"144",144,230,"gi|206236426|gb|FJ215810.1|A/Hong_Kong/HKMA20D/2008_H3N2_|2008|2008|Hong_Kong|EU"
"145",145,229,"gi|206236420|gb|FJ215807.1|A/Hong_Kong/HKMA12E/2008_H3N2_|2008|2008|Hong_Kong|EU"
"146",146,223,"gi|125664232|gb|CY019907.1|A/Albany/19/1968_H3N2_|1968|1968|USA|NA"
"147",147,227,"gi|125664251|gb|CY019915.1|A/Albany/3/1969_H3N2_|1969|1969|USA|NA"
"148",148,224,"gi|383276564|gb|CY113045.1|A/Bilthoven/908/1969_H3N2_|1969|1969|Netherlands|EU"
"149",149,224,"gi|432339410|gb|KC296480.1|A/Bilthoven/16190/1968_H3N2_|1968|1968|Netherlands|EU"
"150",150,223,"gi|145279116|gb|CY021837.1|A/Albany/4/1969_H3N2_|1969|1969|USA|NA"
"151",151,222,"gi|125664213|gb|CY019899.1|A/Albany/1/1969_H3N2_|1969|1969|USA|NA"
"152",152,225,"gi|80977927|gb|CY006211.1|A/Memphis/1/1968_H3N2_|1968|1968|USA|NA"
"153",153,224,"gi|383213115|gb|CY112241.1|A/Bilthoven/16398/1968_H3N2_|1968|1968|Netherlands|EU"
"154",154,224,"gi|125664194|gb|CY019891.1|A/Albany/11/1968_H3N2_|1968|1968|USA|NA"
"155",155,230,"gi|555232474|gb|CY112233.2|A/Bilthoven/15793/1968_H3N2_|1968|1968|Netherlands|EU"
"156",156,223,"gi|148897931|gb|CY022085.1|A/Albany/6/1968_H3N2_|1968|1968|USA|NA"
"157",157,181,"gi|432339358|gb|KC296467.1|A/Bilthoven/2271/1976_H3N2_|1976|1976|Netherlands|EU"
"158",158,209,"gi|383213248|gb|CY112297.1|A/Bilthoven/6022/1972_H3N2_|1972|1972|Netherlands|EU"
"159",159,205,"gi|383276621|gb|CY113069.1|A/Bilthoven/21801/1971_H3N2_|1971|1971|Netherlands|EU"
"160",160,206,"gi|383276602|gb|CY113061.1|A/Bilthoven/21438/1971_H3N2_|1971|1971|Netherlands|EU"
"161",161,205,"gi|145278557|gb|CY021597.1|A/Memphis/3/1971_H3N2_|1971|1971|USA|NA"
"162",162,204,"gi|134047579|gb|CY021093.1|A/Albany/20/1974_H3N2_|1974|1974|USA|NA"
"163",163,203,"gi|383213342|gb|CY112337.1|A/Bilthoven/4273/1975_H3N2_|1975|1975|Netherlands|EU"
"164",164,200,"gi|383276906|gb|CY113189.1|A/Bilthoven/628/1976_H3N2_|1976|1976|Netherlands|EU"
"165",165,201,"gi|383276868|gb|CY113173.1|A/Bilthoven/2813/1975_H3N2_|1975|1975|Netherlands|EU"
"166",166,202,"gi|383276849|gb|CY113165.1|A/Bilthoven/2600/1975_H3N2_|1975|1975|Netherlands|EU"
"167",167,196,"gi|383213323|gb|CY112329.1|A/Bilthoven/5146/1974_H3N2_|1974|1974|Netherlands|EU"
"168",168,200,"gi|383276659|gb|CY113085.1|A/England/42/1972_H3N2_|1972|1972|United_Kingdom|EU"
"169",169,200,"gi|392341388|gb|CY121157.1|A/England/42/1972_H3N2_|1972|1972|United_Kingdom|EU"
"170",170,200,"gi|91125675|gb|CY009356.1|A/England/1972_H3N2_|1972|1972|United_Kingdom|EU"
"171",171,196,"gi|83659729|gb|CY006907.1|A/Hong_Kong/49/1974_H3N2_|1974|1974|Hong_Kong|EU"
"172",172,195,"gi|89112184|gb|CY009004.1|A/Hong_Kong/33/1973_H3N2_|1973|1973|Hong_Kong|EU"
"173",173,193,"gi|383213304|gb|CY112321.1|A/Bilthoven/748/1973_H3N2_|1973|1973|Netherlands|EU"
"174",174,195,"gi|383276697|gb|CY113101.1|A/Bilthoven/3517/1973_H3N2_|1973|1973|Netherlands|EU"
"175",175,196,"gi|87044908|gb|CY008676.1|A/Memphis/101/1972_H3N2_|1972|1972|USA|NA"
"176",176,197,"gi|71842548|gb|CY002096.1|A/Memphis/102/1972_H3N2_|1972|1972|USA|NA"
