"","num","Differences","sequencename"
"1",1,3169,"gi|9626685|ref|NC_001477.1|Dengue_virus_1|NA|NA|NA|NA"
"2",2,2372,"gi|331837691|gb|JF260983.1|Dengue_virus|2009|2009|Spain|EU"
"3",3,1905,"gi|132271156|gb|EF105384.1|Dengue_virus_2|1970|1970|Senegal|AF"
"4",4,1920,"gi|132271164|gb|EF105388.1|Dengue_virus_2|1966|1966|Nigeria|AF"
"5",5,1916,"gi|132271162|gb|EF105387.1|Dengue_virus_2|1966|1966|Nigeria|AF"
"6",6,1777,"gi|573974175|gb|KF955346.1|Dengue_virus_2|2007|2007|Venezuela|SA"
"7",7,1227,"gi|388548539|gb|JX079691.1|Dengue_virus_2|2007|2007|Nicaragua|NA"
"8",8,887,"gi|300828757|gb|GQ398257.1|Dengue_virus_2|1977|1977|Indonesia|AS"
"9",9,1056,"gi|531967481|gb|JX966379.1|Dengue_virus_2|1994|1994|Mexico|NA"
"10",10,1055,"gi|259496210|gb|GQ868590.1|Dengue_virus_2|1992|1992|Mexico|NA"
"11",11,1030,"gi|228541786|gb|FJ898449.1|Dengue_virus_2|1984|1984|Honduras|NA"
"12",12,1042,"gi|259496228|gb|GQ868599.1|Dengue_virus_2|1987|1987|Venezuela|SA"
"13",13,1041,"gi|259496208|gb|GQ868589.1|Dengue_virus_2|1983|1983|Mexico|NA"
"14",14,1042,"gi|259496206|gb|GQ868588.1|Dengue_virus_2|1983|1983|Mexico|NA"
"15",15,1000,"gi|158602440|gb|EU056812.1|Dengue_virus_2|1977|1977|Puerto_Rico|NA"
"16",16,985,"gi|529060538|gb|JX966380.1|Dengue_virus_2|1969|1969|Puerto_Rico|NA"
"17",17,1013,"gi|259496230|gb|GQ868600.1|Dengue_virus_2|1969|1969|Puerto_Rico|NA"
"18",18,1026,"gi|259496214|gb|GQ868592.1|Dengue_virus_2|1986|1986|Colombia|SA"
"19",19,1054,"gi|158602427|gb|EU056811.1|Dengue_virus_2|1995|1995|Peru|SA"
"20",20,796,"gi|563361566|gb|KC964093.1|Dengue_virus_2|2001|2001|China|AS"
"21",21,1277,"gi|355519792|gb|JN851131.1|Dengue_virus_2|2005|2005|Singapore|AS"
"22",22,637,"gi|300828761|gb|GQ398259.1|Dengue_virus_2|1976|1976|Indonesia|AS"
"23",23,630,"gi|300828759|gb|GQ398258.1|Dengue_virus_2|1975|1975|Indonesia|AS"
"24",24,662,"gi|300828767|gb|GQ398262.1|Dengue_virus_2|1976|1976|Indonesia|AS"
"25",25,700,"gi|158602419|gb|EU056810.1|Dengue_virus_2|1983|1983|Burkina_Faso|AF"
"26",26,670,"gi|300828765|gb|GQ398261.1|Dengue_virus_2|1976|1976|Indonesia|AS"
"27",27,670,"gi|300828763|gb|GQ398260.1|Dengue_virus_2|1976|1976|Indonesia|AS"
"28",28,952,"gi|289187582|gb|GU370051.1|Dengue_virus_2|Aug_2008|2008|Singapore|AS"
"29",29,1289,"gi|355519772|gb|JN851121.1|Dengue_virus_2|2008|2008|Singapore|AS"
"30",30,1288,"gi|355519770|gb|JN851120.1|Dengue_virus_2|2007|2007|Singapore|AS"
"31",31,1287,"gi|355519766|gb|JN851118.1|Dengue_virus_2|2008|2008|Singapore|AS"
"32",32,1281,"gi|355519764|gb|JN851117.1|Dengue_virus_2|2007|2007|Singapore|AS"
"33",33,1267,"gi|289187580|gb|GU370050.1|Dengue_virus_2|Apr_2007|2007|Singapore|AS"
"34",34,1285,"gi|355519760|gb|JN851115.1|Dengue_virus_2|2007|2007|Singapore|AS"
"35",35,1280,"gi|355519756|gb|JN851113.1|Dengue_virus_2|2006|2006|Singapore|AS"
"36",36,1281,"gi|355519762|gb|JN851116.1|Dengue_virus_2|2007|2007|Singapore|AS"
"37",37,1286,"gi|355519768|gb|JN851119.1|Dengue_virus_2|2008|2008|Singapore|AS"
"38",38,805,"gi|300828775|gb|GQ398266.1|Dengue_virus_2|2007|2007|Singapore|AS"
"39",39,804,"gi|300828773|gb|GQ398265.1|Dengue_virus_2|2008|2008|Singapore|AS"
"40",40,1286,"gi|355519758|gb|JN851114.1|Dengue_virus_2|2007|2007|Singapore|AS"
"41",41,1286,"gi|355519774|gb|JN851122.1|Dengue_virus_2|2008|2008|Singapore|AS"
"42",42,809,"gi|300828777|gb|GQ398267.1|Dengue_virus_2|2007|2007|Singapore|AS"
"43",43,688,"gi|300828771|gb|GQ398264.1|Dengue_virus_2|1976|1976|Indonesia|AS"
"44",44,689,"gi|300828769|gb|GQ398263.1|Dengue_virus_2|1975|1975|Indonesia|AS"
"45",45,770,"gi|563361568|gb|KC964094.1|Dengue_virus_2|1993|1993|China|AS"
"46",46,1282,"gi|355519790|gb|JN851130.1|Dengue_virus_2|2005|2005|Singapore|AS"
"47",47,813,"gi|408451339|gb|JX470186.1|Dengue_virus_2|2010|2010|China|AS"
"48",48,813,"gi|169144129|gb|EU482672.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
