"","Count","Virus","AsynNC_C","AnonsynNC_C","TsynNC_C","TnonsynNC_C","AsynC_LCLS","AnonsynC_LCLS","AsynNC_LCLS","AnonsynNC_LCLS","TsynC_LCLS","TnonsynC_LCLS","TsynNC_LCLS","TnonsynNC_LCLS","AsynC_UCLS","AnonsynC_UCLS","AsynNC_UCLS","AnonsynNC_UCLS","TsynC_UCLS","TnonsynC_UCLS","TsynNC_UCLS","TnonsynNC_UCLS","averagefit","protein","multNS","nucl","seq"
"1","1","Dengue 1","2.24702634753397","2.36610237947611","2.32942511488773","3.48686528315777","0.0202981050799441","0.00115105365764462","0.0497810607425569","0.0039114349154016","0.049579804914485","0.000752497637614102","0.121876264795486","0.00372325244208022","0.0273025771336504","0.00280057298176944","0.0571789263519816","0.00543851827891722","0.0606161515727033","0.00206817112632334","0.134816963804846","0.00611203954618078","2.6073547812639","polyprotein","13348602","10182","1311"
"2","2","Dengue 2","1.72991335343238","1.82031543725092","2.18204559384129","2.19642780657044","0.0284049185642586","0.00246856124685449","0.0523048995387481","0.00564642999299816","0.0642390284586952","0.00052244606412073","0.14778309301897","0.0021723126016084","0.036256841233377","0.00473487781437475","0.0595543421916185","0.0074661013314537","0.0771686808298089","0.00226342590055918","0.1607749759692","0.00394665404715957","1.98217554777376","polyprotein","9219456","10176","906"
"3","3","Dengue 3","1.74353054147469","1.80826952526799","2.9694946735174","5.57884924461588","0.0166270002127582","0.00117225107090374","0.0312000341441734","0.00277570443185883","0.0285748841666245","0.000310512469385816","0.0911818234940876","0.00197477628334386","0.0223215912456232","0.00254441701868333","0.0367080246109347","0.00394503321007748","0.0362922140292163","0.000664722304044199","0.101440679084992","0.00346591149572932","3.02503599621899","polyprotein","7009197","10173","689"
"4","4","Dengue 4","1.88582172256402","1.93110185185185","2.3263086335826","1.768903623334","0.0212238175981876","0.00170264554387437","0.04336619522321","0.00345109932590849","0.0371863071795409","0.00110065936304861","0.090687996019629","0.00265949638882077","0.0278580682578918","0.00243693497863269","0.0491934913085924","0.00454285228699473","0.044626818515676","0.00278511131480249","0.0996345846255322","0.00421405744267508","1.97803395783312","polyprotein","1260336","10164","124"
"5","5","Human Parainfluenza 1 F","0.973528387321491","6.64264264264263","18.206106870229","NaN","0.00969033634742761","-2.71050543121376e-20","0.0131159739733835","0.000373184799213129","0.000873852350558704","0","0.024833102519046","0","0.0328005061434149","0.000401848503114327","0.0282500673926578","0.00229615120345621","0.00272003803578451","0","0.0405976499346072","0","8.60742596673104","F","105084","1668","63"
"6","6","Human Parainfluenza 1 HN","0.544967682363805","40.9534883720931","1.44714318760121","NaN","0.00954869039203458","0.000181512149491246","0.0068332624441198","0.00830923672173326","0.0025711937568372","0","0.014051110515555","0","0.0521195991243561","0.000521722730958824","0.0267739623689678","0.0204906847776289","0.0299430777745601","0","0.0330016960309224","0","14.3151997473527","HN","205479","867","237"
"7","7","Human Parainfluenza 3 HN","0.922523229943725","4.03269230769231","2.40052479311041","8.36000000000002","0.023688307210063","0.000315657882728337","0.0242433008813938","0.000925694316261102","0.0125980977205832","0","0.0368027302440182","0.000331155288757682","0.0493251086826099","0.000864443787569411","0.0431132713771393","0.00383329261184348","0.0263841618499116","0.000148544266191325","0.0567751503464202","0.000910674776601796","3.92893508268662","HN","484704","1188","408"
"8","8","Human Parainfluenza 1","0.956293830637705","1.99787321244614","1.89681512397858","1.37481432579634","0.0126924730831597","0.0011755260054486","0.0132370075136651","0.00372137539843033","0.00889012839807619","0.00116943811864973","0.0198828571701662","0.00281477624077112","0.0190959998817838","0.00325060342068083","0.0171621130681038","0.00512147001685325","0.0144611674705407","0.00404675092106873","0.024410233997925","0.00435651517709564","1.55644912321469","Complete genome","1114056","15473","72"
"9","9","Human Parainfluenza 3","0.651428571428572","3.20330237358101","2.11941529235382","Inf","0.0222016315818796","0.000209785258822238","0.0145994492789463","0.00120128084397453","0.018241650359533","0","0.0570121657146384","0.002297147382131","0.0383939362851564","0.00141799553336441","0.02487423493158","0.00401299323130656","0.0440569532924541","0","0.0750244475576727","0.00714631774000448","1.99138207912114","F","123120","1620","76"
"10","10","Influenza A H1N1 HA","7.12572795940726","0.667774794357073","2.12532467532467","17.3200145958767","0.000699237538898517","0.000705937680175918","0.0041776201792812","0.000895312227958411","0.00209301231113346","3.21912591599655e-05","0.00506476553056204","0.00054701254798134","0.000931666354884528","0.00273782866681623","0.00744375729575481","0.00140434813621808","0.00486878819905414","6.30379230019668e-05","0.00973132087842758","0.00110235827701672","6.80971050624141","HA","17559423","1701","10323"
