"","Site","Partition","X.alpha.","X.beta..sup....sup.","p.sup....sup.","X.beta..sup....sup..1","p.sup....sup..1","LRT","p.value","X..branches.under.selection","Total.branch.length"
"1",1,1,0.29,0.29,0.69,0,0.31,0,0.67,0,0.72
"2",2,1,2.47,0.32,0.45,0.17,0.55,0,0.67,0,3.01
"3",3,1,0,0,0,2.56,1,7.67,0.01,18,5.46
"4",4,1,3.11,1.13,0.62,0.5,0.38,0,0.67,0,5.06
"5",5,1,0.22,0.01,0.69,7.72,0.31,11.3,0,15,5.35
"6",6,1,0.9,0,0.01,0,0.99,0,0.67,0,0.92
"7",7,1,0.22,0.22,0.41,0.48,0.59,0.19,0.53,0,1.03
"8",8,1,0,0,0,2.01,1,6.97,0.01,10,4.28
"9",9,1,0.44,0.44,0.57,0.59,0.43,0.02,0.63,0,1.53
"10",10,1,0,0,0.95,18.36,0.05,10.43,0,4,1.95
"11",11,1,0,0,1,0,0,0,1,0,0
"12",12,1,1.39,0.63,0.35,0.05,0.65,0,0.67,0,1.95
"13",13,1,0,0,0.57,0.75,0.43,1.64,0.22,2,0.68
"14",14,1,1.13,1.13,0.26,1.15,0.74,0,0.66,0,3.6
"15",15,1,0,0,1,0,0,0,1,0,0
"16",16,1,0.1,0.1,1,0.01,0,0,0.67,0,0.32
"17",17,1,0,0,0.75,0,0.25,0,0.67,0,0
"18",18,1,0.84,0.73,0.69,0.52,0.31,0,0.67,0,2.28
"19",19,1,0,0,0.52,1.35,0.48,1.87,0.19,4,1.38
"20",20,1,1.21,0.98,0.53,0.18,0.47,0,0.67,0,2.51
"21",21,1,0,0,0.43,5.47,0.57,17.59,0,7,6.61
"22",22,1,0.46,0.46,0.8,0.65,0.2,0.01,0.65,0,1.53
"23",23,1,0,0,0.59,0.34,0.41,0.98,0.32,1,0.3
"24",24,1,0,0,0,1.93,1,10.49,0,9,4.11
"25",25,1,0.1,0.1,1,0.06,0,0,0.67,0,0.33
"26",26,1,0.31,0,0.19,0,0.81,0,0.67,0,0.32
"27",27,1,0,0,1,0,0,0,1,0,0
"28",28,1,2.65,1.33,0.08,0,0.92,0,0.67,0,2.93
"29",29,1,3.17,3.17,0.05,0,0.95,0,0.67,0,3.54
"30",30,1,0,0,0,1.86,1,8.5,0.01,10,3.96
"31",31,1,0,0,0.22,0.34,0.78,0.8,0.36,2,0.57
"32",32,1,0,0,1,0,0,0,1,0,0
"33",33,1,0,0,1,0,0,0,1,0,0
"34",34,1,0,0,0.45,0.72,0.55,2.14,0.17,2,0.85
"35",35,1,0.31,0.31,0.52,1.07,0.48,0.01,0.64,0,1.76
"36",36,1,0,0,0.58,0,0.42,0,0.67,0,0
"37",37,1,0,0,1,0,0,0,1,0,0
"38",38,1,0,0,1,0,0,0,1,0,0
"39",39,1,0,0,1,0,0,0,1,0,0
"40",40,1,0,0,0,1.66,1,5.07,0.04,14,3.54
"41",41,1,0.61,0,0.02,0,0.98,0,0.67,0,0.61
"42",42,1,0.15,0.13,0.74,0.62,0.26,0.16,0.55,0,0.7
"43",43,1,0,0,0.31,0.24,0.69,0.93,0.33,1,0.35
"44",44,1,3.15,3.15,0,4.56,1,1.17,0.29,0,12.91
"45",45,1,4.7,4.58,0.39,4.28,0.61,0,0.67,0,14.13
"46",46,1,1.26,0.62,0.78,0.45,0.22,0,0.67,0,2.52
"47",47,1,0,0,0,3.6,1,19.94,0,9,7.67
"48",48,1,1.84,0,0.02,0,0.98,0,0.67,0,1.86
"49",49,1,0,0,0,3.46,1,16,0,17,7.38
"50",50,1,0,0,1,0,0,0,1,0,0
"51",51,1,0,0,0.28,0.17,0.72,0.57,0.41,1,0.27
"52",52,1,0,0,1,0,0,0,1,0,0
"53",53,1,0,0,0.49,1.96,0.51,5.39,0.03,4,2.15
"54",54,1,0,0,0.75,0,0.25,0,0.67,0,0
"55",55,1,0,0,1,0,0,0,1,0,0
"56",56,1,0,0,0,0.7,1,4.54,0.05,5,1.5
"57",57,1,0,0,0,1.45,1,7.45,0.01,9,3.09
"58",58,1,0,0,0.32,0.78,0.68,2.68,0.13,3,1.13
"59",59,1,0,0,0.11,0.6,0.89,1.62,0.22,5,1.14
"60",60,1,0,0,0.88,0.83,0.12,0.32,0.48,1,0.22
"61",61,1,0,0,0,0.42,1,2.66,0.13,2,0.9
"62",62,1,0,0,0.57,2.45,0.43,7.06,0.01,7,2.23
"63",63,1,0.95,0.26,0.48,0.03,0.52,0,0.67,0,1.27
"64",64,1,4.54,2.11,0.06,0.05,0.94,0,0.67,0,4.98
"65",65,1,0,0,1,0,0,0,1,0,0
"66",66,1,0.71,0,0.02,0,0.98,0,0.67,0,0.73
"67",67,1,2.57,1.48,0.3,0.01,0.7,0,0.67,0,3.55
"68",68,1,1.21,1.21,0,3.08,1,2.83,0.12,0,7.8
"69",69,1,0,0,0.3,0.26,0.7,0.52,0.42,1,0.38
"70",70,1,0,0,0.45,0.53,0.55,1.37,0.26,2,0.62
"71",71,1,6.69,0,0.02,0,0.98,0,0.67,0,6.79
"72",72,1,0,0,1,0,0,0,1,0,0
