"","num","Differences","sequencename"
"1",1,2871,"gi|9626685|ref|NC_001477.1|Dengue_virus_1|NA|NA|NA|NA"
"2",2,542,"gi|582052238|gb|KJ189255.1|Dengue_virus_3|2002|2002|Peru|SA"
"3",3,325,"gi|589435094|gb|KF954947.1|Dengue_virus_3|08_Aug_2013|2013|China|AS"
"4",4,322,"gi|589434944|gb|KF954946.1|Dengue_virus_3|08_Aug_2013|2013|China|AS"
"5",5,319,"gi|589434937|gb|KF954945.1|Dengue_virus_3|08_Aug_2013|2013|China|AS"
"6",6,322,"gi|589435113|gb|KF954949.1|Dengue_virus_3|08_Aug_2013|2013|China|AS"
"7",7,323,"gi|589435104|gb|KF954948.1|Dengue_virus_3|08_Aug_2013|2013|China|AS"
"8",8,298,"gi|334701953|gb|JF504679.1|Dengue_virus_3|Sep_2009|2009|China|AS"
"9",9,295,"gi|374256906|gb|JN662391.1|Dengue_virus_3|06_Aug_2009|2009|China|AS"
"10",10,298,"gi|285804113|gb|GU363549.1|Dengue_virus_3|06_Aug_2009|2009|China|AS"
"11",11,264,"gi|305672623|gb|GQ466079.1|Dengue_virus_3|2008|2008|India|AS"
"12",12,252,"gi|256600129|gb|FJ644564.1|Dengue_virus_3|2007|2007|India|AS"
"13",13,279,"gi|567319939|gb|KF041256.1|Dengue_virus_3|2006|2006|Pakistan|AS"
"14",14,279,"gi|567319945|gb|KF041259.1|Dengue_virus_3|2006|2006|Pakistan|AS"
"15",15,267,"gi|567319937|gb|KF041255.1|Dengue_virus_3|2007|2007|Pakistan|AS"
"16",16,300,"gi|567319935|gb|KF041254.1|Dengue_virus_3|2008|2008|Pakistan|AS"
"17",17,298,"gi|567319943|gb|KF041258.1|Dengue_virus_3|2009|2009|Pakistan|AS"
"18",18,286,"gi|567319941|gb|KF041257.1|Dengue_virus_3|2006|2006|Pakistan|AS"
"19",19,719,"gi|289187586|gb|GU370053.1|Dengue_virus_3|May_2007|2007|Singapore|AS"
"20",20,241,"gi|239840447|gb|GQ199888.1|Dengue_virus_3|1983|1983|Sri_Lanka|AS"
"21",21,239,"gi|239840445|gb|GQ199887.1|Dengue_virus_3|1983|1983|Sri_Lanka|AS"
"22",22,252,"gi|228538327|gb|FJ882574.1|Dengue_virus_3|1985|1985|Sri_Lanka|AS"
"23",23,301,"gi|239840449|gb|GQ199889.1|Dengue_virus_3|1983|1983|Sri_Lanka|AS"
"24",24,273,"gi|228538251|gb|FJ882572.1|Dengue_virus_3|1989|1989|Sri_Lanka|AS"
"25",25,238,"gi|228538286|gb|FJ882573.1|Dengue_virus_3|1993|1993|Sri_Lanka|AS"
"26",26,215,"gi|239840461|gb|GQ252674.1|Dengue_virus_3|1997|1997|Sri_Lanka|AS"
"27",27,116,"gi|228538360|gb|FJ882575.1|Dengue_virus_3|1985|1985|Mozambique|AF"
"28",28,192,"gi|228538219|gb|FJ882571.1|Dengue_virus_3|1989|1989|Sri_Lanka|AS"
"29",29,157,"gi|573974427|gb|KF955474.1|Dengue_virus_3|1989|1989|Sri_Lanka|AS"
"30",30,156,"gi|385258205|gb|JQ411814.1|Dengue_virus_3|1989|1989|Sri_Lanka|AS"
"31",31,81,"gi|228541466|gb|FJ898440.1|Dengue_virus_3|2003|2003|Mexico|NA"
"32",32,126,"gi|228541533|gb|FJ898442.1|Dengue_virus_3|2007|2007|Mexico|NA"
