"","num","Differences","sequencename"
"1",1,3096,"gi|532129702|gb|KF530213.1|HPIV_1|13_Oct_2011|2011|USA|NA"
"2",2,2674,"gi|399605360|gb|JQ901974.1|HPIV_1|25_Sep_1997|1997|USA|NA"
"3",3,2217,"gi|399605598|gb|JQ902008.1|HPIV_1|03_Oct_2009|2009|USA|NA"
"4",4,4862,"gi|532129591|gb|KF530195.1|HPIV_1|25_Aug_2010|2010|South_Africa|AF"
"5",5,1829,"gi|399605605|gb|JQ902009.1|HPIV_1|15_Feb_2010|2010|USA|NA"
"6",6,793,"gi|399605584|gb|JQ902006.1|HPIV_1|04_Dec_2009|2009|USA|NA"
"7",7,1259,"gi|532129680|gb|KF530211.1|HPIV_1|24_Jun_2011|2011|USA|NA"
"8",8,217,"gi|545699088|gb|KF687311.1|HPIV_1|19_May_2010|2010|South_Africa|AF"
"9",9,241,"gi|545699121|gb|KF687314.1|HPIV_1|23_Sep_2010|2010|France|EU"
"10",10,207,"gi|532129691|gb|KF530212.1|HPIV_1|24_Jun_2011|2011|USA|NA"
"11",11,202,"gi|532129642|gb|KF530203.1|HPIV_1|03_Jun_2011|2011|USA|NA"
"12",12,277,"gi|399605612|gb|JQ902010.1|HPIV_1|02_Mar_2010|2010|USA|NA"
"13",13,272,"gi|399605535|gb|JQ901999.1|HPIV_1|24_Oct_2009|2009|USA|NA"
"14",14,313,"gi|399605514|gb|JQ901996.1|HPIV_1|20_Oct_2009|2009|USA|NA"
"15",15,211,"gi|399605458|gb|JQ901988.1|HPIV_1|29_Sep_2009|2009|USA|NA"
"16",16,194,"gi|545699132|gb|KF687315.1|HPIV_1|09_Apr_2010|2010|USA|NA"
"17",17,195,"gi|399605591|gb|JQ902007.1|HPIV_1|10_Dec_2009|2009|USA|NA"
"18",18,228,"gi|545699055|gb|KF687307.1|HPIV_1|02_Oct_2009|2009|USA|NA"
"19",19,176,"gi|399605465|gb|JQ901989.1|HPIV_1|02_Oct_2009|2009|USA|NA"
"20",20,179,"gi|399605500|gb|JQ901994.1|HPIV_1|06_Oct_2009|2009|USA|NA"
"21",21,201,"gi|399605528|gb|JQ901998.1|HPIV_1|22_Oct_2009|2009|USA|NA"
"22",22,198,"gi|399605444|gb|JQ901986.1|HPIV_1|29_Sep_2009|2009|USA|NA"
"23",23,232,"gi|545699066|gb|KF687308.1|HPIV_1|03_Oct_2009|2009|USA|NA"
"24",24,193,"gi|399605472|gb|JQ901990.1|HPIV_1|03_Oct_2009|2009|USA|NA"
"25",25,186,"gi|399605493|gb|JQ901993.1|HPIV_1|06_Oct_2009|2009|USA|NA"
"26",26,185,"gi|399605479|gb|JQ901991.1|HPIV_1|06_Oct_2009|2009|USA|NA"
"27",27,207,"gi|399605507|gb|JQ901995.1|HPIV_1|11_Oct_2009|2009|USA|NA"
"28",28,301,"gi|399605542|gb|JQ902000.1|HPIV_1|07_Nov_2009|2009|USA|NA"
"29",29,202,"gi|399605486|gb|JQ901992.1|HPIV_1|06_Oct_2009|2009|USA|NA"
"30",30,274,"gi|399605577|gb|JQ902005.1|HPIV_1|30_Nov_2009|2009|USA|NA"
"31",31,209,"gi|399605570|gb|JQ902004.1|HPIV_1|30_Nov_2009|2009|USA|NA"
"32",32,274,"gi|399605549|gb|JQ902001.1|HPIV_1|07_Nov_2009|2009|USA|NA"
"33",33,2205,"gi|532129671|gb|KF530207.1|HPIV_1|26_Sep_2003|2003|Mexico|NA"
"34",34,212,"gi|399605416|gb|JQ901982.1|HPIV_1|09_Nov_2005|2005|USA|NA"
"35",35,211,"gi|399605451|gb|JQ901987.1|HPIV_1|29_Sep_2009|2009|USA|NA"
"36",36,307,"gi|399605521|gb|JQ901997.1|HPIV_1|21_Oct_2009|2009|USA|NA"
"37",37,240,"gi|399605563|gb|JQ902003.1|HPIV_1|23_Nov_2009|2009|USA|NA"
"38",38,246,"gi|399605556|gb|JQ902002.1|HPIV_1|18_Nov_2009|2009|USA|NA"
"39",39,218,"gi|532129631|gb|KF530202.1|HPIV_1|2009|2009|USA|NA"
"40",40,215,"gi|399605437|gb|JQ901985.1|HPIV_1|2009|2009|USA|NA"
"41",41,2502,"gi|532129603|gb|KF530197.1|HPIV_1|18_Aug_2009|2009|France|EU"
"42",42,6135,"gi|532129627|gb|KF530201.1|HPIV_1|20_Apr_2009|2009|France|EU"
"43",43,316,"gi|545699110|gb|KF687313.1|HPIV_1|25_May_2009|2009|France|EU"
"44",44,3484,"gi|532129665|gb|KF530206.1|HPIV_1|2008|2008|Argentina|SA"
"45",45,3450,"gi|532129672|gb|KF530208.1|HPIV_1|13_Dec_2006|2006|France|EU"
"46",46,267,"gi|545699099|gb|KF687312.1|HPIV_1|23_Aug_2007|2007|France|EU"
"47",47,173,"gi|532129614|gb|KF530198.1|HPIV_1|03_Oct_2003|2003|Mexico|NA"
"48",48,158,"gi|545699077|gb|KF687310.1|HPIV_1|2007|2007|Australia|OC"
"49",49,1332,"gi|532129592|gb|KF530196.1|HPIV_1|31_Oct_2006|2006|Mexico|NA"
"50",50,162,"gi|532129720|gb|KF530221.1|HPIV_1|2007|2007|Australia|OC"
"51",51,164,"gi|532129706|gb|KF530217.1|HPIV_1|10_Feb_2005|2005|Mexico|NA"
"52",52,213,"gi|399605430|gb|JQ901984.1|HPIV_1|2007|2007|USA|NA"
"53",53,217,"gi|399605423|gb|JQ901983.1|HPIV_1|2007|2007|USA|NA"
"54",54,104,"gi|399605388|gb|JQ901978.1|HPIV_1|22_Nov_1997|1997|USA|NA"
"55",55,105,"gi|399605346|gb|JQ901972.1|HPIV_1|22_Sep_1997|1997|USA|NA"
"56",56,97,"gi|399605353|gb|JQ901973.1|HPIV_1|24_Sep_1997|1997|USA|NA"
"57",57,95,"gi|399605374|gb|JQ901976.1|HPIV_1|16_Oct_1997|1997|USA|NA"
"58",58,91,"gi|399605381|gb|JQ901977.1|HPIV_1|04_Nov_1997|1997|USA|NA"
"59",59,148,"gi|399605367|gb|JQ901975.1|HPIV_1|03_Oct_1997|1997|USA|NA"
"60",60,89,"gi|399605409|gb|JQ901981.1|HPIV_1|05_Mar_1999|1999|USA|NA"
"61",61,86,"gi|399605402|gb|JQ901980.1|HPIV_1|03_Dec_1997|1997|USA|NA"
"62",62,88,"gi|399605395|gb|JQ901979.1|HPIV_1|22_Nov_1997|1997|USA|NA"
"63",63,161,"gi|532129654|gb|KF530205.1|HPIV_1|2007|2007|Australia|OC"
