"","num","Differences","sequencename"
"1",1,16,"gi|378750672|gb|JQ411251.1|Human_bocavirus|2005|2005|Brazil|SA"
"2",2,3240,"gi|407829861|gb|JX445150.1|Human_bocavirus|Dec_2009|2009|China|AS"
"3",3,32,"gi|490344791|gb|KC823115.1|Human_bocavirus|2012|2012|Ireland|EU"
"4",4,10,"gi|407829731|gb|JX434060.1|Human_bocavirus|Jul_2009|2009|China|AS"
"5",5,7,"gi|407829806|gb|JX434075.1|Human_bocavirus|May_2011|2011|China|AS"
"6",6,7,"gi|407829751|gb|JX434064.1|Human_bocavirus|Apr_2011|2011|China|AS"
"7",7,7,"gi|407829846|gb|JX434083.1|Human_bocavirus|Feb_2010|2010|China|AS"
"8",8,9,"gi|407829816|gb|JX434077.1|Human_bocavirus|Nov_2010|2010|China|AS"
"9",9,8,"gi|407829801|gb|JX434074.1|Human_bocavirus|Jun_2009|2009|China|AS"
"10",10,4,"gi|407829786|gb|JX434071.1|Human_bocavirus|Aug_2010|2010|China|AS"
"11",11,4,"gi|407829856|gb|JX434085.1|Human_bocavirus|Jul_2010|2010|China|AS"
"12",12,4,"gi|407829851|gb|JX434084.1|Human_bocavirus|Jun_2010|2010|China|AS"
"13",13,6,"gi|407829836|gb|JX434081.1|Human_bocavirus|Jun_2009|2009|China|AS"
"14",14,3,"gi|407829741|gb|JX434062.1|Human_bocavirus|May_2010|2010|China|AS"
"15",15,3,"gi|407829756|gb|JX434065.1|Human_bocavirus|May_2011|2011|China|AS"
"16",16,6,"gi|407829746|gb|JX434063.1|Human_bocavirus|Jul_2010|2010|China|AS"
"17",17,3238,"gi|407829863|gb|JX445151.1|Human_bocavirus|Dec_2010|2010|China|AS"
"18",18,7,"gi|407829831|gb|JX434080.1|Human_bocavirus|Jan_2011|2011|China|AS"
"19",19,4,"gi|407829841|gb|JX434082.1|Human_bocavirus|Aug_2009|2009|China|AS"
"20",20,3,"gi|407829791|gb|JX434072.1|Human_bocavirus|Aug_2010|2010|China|AS"
"21",21,3,"gi|407829776|gb|JX434069.1|Human_bocavirus|Aug_2010|2010|China|AS"
"22",22,2,"gi|407829796|gb|JX434073.1|Human_bocavirus|Aug_2010|2010|China|AS"
"23",23,2,"gi|407829826|gb|JX434079.1|Human_bocavirus|Dec_2010|2010|China|AS"
"24",24,1,"gi|407829811|gb|JX434076.1|Human_bocavirus|Aug_2010|2010|China|AS"
"25",25,1,"gi|407829771|gb|JX434068.1|Human_bocavirus|Jul_2010|2010|China|AS"
"26",26,1,"gi|407829766|gb|JX434067.1|Human_bocavirus|May_2011|2011|China|AS"
"27",27,1,"gi|407829761|gb|JX434066.1|Human_bocavirus|Apr_2011|2011|China|AS"
"28",28,1,"gi|407829726|gb|JX434059.1|Human_bocavirus|Jul_2009|2009|China|AS"
"29",29,1,"gi|407829736|gb|JX434061.1|Human_bocavirus|Nov_2009|2009|China|AS"
"30",30,0,"gi|407829781|gb|JX434070.1|Human_bocavirus|Aug_2010|2010|China|AS"
"31",31,0,"gi|407829821|gb|JX434078.1|Human_bocavirus|Dec_2010|2010|China|AS"
