Site,Partition,&alpha; ,&beta;<sup>-</sup>,p<sup>-</sup>,&beta;<sup>+</sup>,p<sup>+</sup>,LRT,p-value,# branches under selection,Total branch length
1,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
2,1,1.33,0.00,0.01,0.00,0.99,0.00,0.67,0.00,23.44
3,1,0.79,0.02,0.71,0.01,0.29,0.00,0.67,0.00,14.67
4,1,0.20,0.00,0.04,0.00,0.96,0.00,0.67,0.00,3.56
5,1,0.91,0.00,0.01,0.00,0.99,0.00,0.67,0.00,16.08
6,1,0.31,0.02,0.13,0.01,0.87,0.00,0.67,0.00,5.89
7,1,2.86,0.01,0.05,0.01,0.95,0.00,0.67,0.00,50.80
8,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
9,1,0.62,0.10,1.00,0.05,0.00,0.00,0.67,0.00,15.48
10,1,4.35,0.97,0.02,0.00,0.98,0.00,0.67,0.00,77.69
11,1,2.02,2.02,0.02,0.00,0.98,0.00,0.67,0.00,36.96
12,1,1.07,0.00,0.03,0.00,0.97,0.00,0.67,0.00,18.84
13,1,1.57,0.00,0.02,0.00,0.98,0.00,0.67,0.00,27.72
14,1,0.83,0.00,0.18,0.00,0.82,0.00,0.67,0.00,14.59
15,1,1.48,0.00,0.02,0.00,0.98,0.00,0.67,0.00,26.07
16,1,1.67,1.67,0.10,0.00,0.90,0.00,0.67,0.00,36.64
17,1,0.93,0.00,0.05,0.00,0.95,0.00,0.67,0.00,16.45
18,1,2.76,0.00,0.01,0.00,0.99,0.00,0.67,0.00,48.74
19,1,0.59,0.00,0.26,0.00,0.74,0.00,0.67,0.00,10.32
20,1,1.15,1.15,0.00,0.04,1.00,0.00,0.67,0.00,21.89
21,1,4.17,0.00,0.04,0.00,0.96,0.00,0.67,0.00,73.47
22,1,0.90,0.00,0.09,0.00,0.91,0.00,0.67,0.00,15.91
23,1,1.08,0.00,0.02,0.00,0.98,0.00,0.67,0.00,19.13
24,1,1.40,1.40,0.02,0.00,0.98,0.00,0.67,0.00,25.94
25,1,0.59,0.59,0.02,0.00,0.98,0.00,0.67,0.00,11.02
26,1,0.71,0.00,0.26,0.00,0.74,0.00,0.67,0.00,12.53
27,1,0.76,0.01,0.02,0.01,0.98,0.00,0.67,0.00,13.91
28,1,1.00,0.00,0.02,0.00,0.98,0.00,0.67,0.00,17.55
29,1,1.16,0.61,0.03,0.00,0.97,0.00,0.67,0.00,21.11
30,1,1.71,1.71,0.02,0.00,0.98,0.00,0.67,0.00,31.43
31,1,1.02,1.02,0.02,0.00,0.98,0.00,0.67,0.00,19.03
32,1,1.04,0.00,0.02,0.00,0.98,0.00,0.67,0.00,18.28
33,1,0.65,0.10,0.19,0.10,0.81,0.00,0.67,0.00,16.04
34,1,1.56,0.00,0.05,0.00,0.95,0.00,0.67,0.00,27.53
35,1,0.50,0.50,0.17,0.01,0.83,0.00,0.67,0.00,13.02
36,1,0.55,0.00,0.15,0.00,0.85,0.00,0.67,0.00,9.66
37,1,0.69,0.47,0.03,0.00,0.97,0.00,0.67,0.00,12.79
38,1,1.19,0.00,0.03,0.00,0.97,0.00,0.67,0.00,20.99
39,1,1.04,0.03,0.20,0.03,0.80,0.00,0.67,0.00,19.76
