name,nice_name,SeqNumber,NucleotideNumber
Denguevirus1,Dengue 1,1785,10176
Denguevirus2,Dengue 2,1597,10173
Denguevirus3,Dengue 3,970,10170
Denguevirus4,Dengue 4,257,10206
EnteroD68_VP1,Entero D68 VP1,528,528
Enterovirus_C_VP2_Polio2,Entero C VP2 Polio2,574,813
EnterovirusA_VP1_EVA71,Entero A VP1 EVA71,3868,894
EnterovirusA_VP2_EVA71,Entero A VP2 EVA71,575,294
EnterovirusB_VP1_Echovirus30,Entero B VP1 Echovirus30,2429,876
EnterovirusB_VP2_Echovirus30,Entero B VP2 Echovirus30,63,315
EnterovirusC_VP1_Polio2,Entero C VP1 Polio2,1346,906
HepatitisB_core,Hepatitis B Core,630,264
HepatitisB_polymerase,Hepatitis B Polymerase,6406,1620
HepatitisB_precore,Hepatitis B Precore,1347,251
HepatitisB_preS,Hepatitis B PreS,902,462
HepatitisB_S,Hepatitis B S,212,678
HumanBoca_VP1,Human Boca 1 VP1,302,2013
HumanHerpesvirus2_G,Herpes 2 Glycoprotein G,244,1317
HumanPapilloma16_L1,Human Papilloma 16 L1,112,1458
HumanParainfluenza1_F,Human Parainfluenza 1 F,94,1782
Humanparainfluenza3_HN,Human Parainfluenza 3 HN,1760,1716
Humanrespiratorysyncytialvirus_G,Human Respiratory Syncytial G,1760,900
InfluenzaA_NA_H3N2,Influenza A NA H3N2,2428,1407
InfluenzaAvirus_HA_H1N1_alignment,Influenza A HA H1N1,19095,1710
InfluenzaAvirus_HA_H3N2_alignment,Influenza A HA H3N2,24005,1701
InfluenzaAvirus_NA_H1N1_alignment,Influenza A NA H1N1,19226,1410
InfluenzaB_HA,Influenza B HA,1054,1755
InfluenzaB_NA,Influenza B NA,3914,1398
Measles_hemagglutinin_alignment,Measles HH,876,1851
ParovirusB19_NS1_alignment,Parvo B19 NS1,175,2016
Parovovirus_B19_VP1_alignment,Parvo B19 VP1,268,2343
RhinovirusB alignment,Rhino B,41,6579
RotavirusA_VP6_alignment,Rota A VP6,4350,1197
BKpolyomavirus_VP1.fasta.mu.trim05,Bk Polyoma VP1,115,1086
HepatitisB_polymerase_truncated_precore.fasta_pruned.mu.trim05,Hepatitis B PTP,1111,181
humanparainfluenzavirus1_HN.fasta_pruned.mu.trim05,Human Parainfluenza 1 HN,236,864
humanparainfluenzavirus1.fasta_pruned.mu.trim05,Human Parainfluenza 1,72,15471
humanparainfluenzavirus3.fasta_pruned.mu.trim05,Human Parainfluenza 3,76,1617
Humanrespiratorysyncytialvirus.fasta.mu.trim05,Human Respiratory Syncytial,292,15132
RhinovirusC.fasta_pruned.mu.trim05,Rhino C,53,6933
HIV1_FLT_2017_pol_DNA.fasta,HIV pol gene,3030,3264
HCV1A_CDS_Alignment.fasta,HCV 1 A,3011,9036
HCV1B_CDS_alignment.fasta,HCV 1 B,3010,9036
