"","num","Differences","sequencename"
"1",1,1502,"gi|357542281|gb|JN990698.1|Rhinovirus_B|2008|2008|USA|NA"
"2",2,1409,"gi|380513861|gb|JQ245974.1|Rhinovirus_B|2008|2008|USA|NA"
"3",3,1700,"gi|357542297|gb|JN990706.1|Rhinovirus_B|2008|2008|USA|NA"
"4",4,1405,"gi|388548512|gb|JX074054.1|Rhinovirus_B|2008|2008|USA|NA"
"5",5,1468,"gi|588492821|gb|KF958308.1|Rhinovirus_B|20_Oct_1999|1999|USA|NA"
"6",6,1763,"gi|319430972|gb|HQ123445.1|Rhinovirus_B|15_Feb_2006|2006|Thailand|AS"
"7",7,1555,"gi|348549252|gb|JN562721.1|Rhinovirus_B|10_Mar_2009|2009|USA|NA"
"8",8,1746,"gi|380513853|gb|JQ245970.1|Rhinovirus_B|2009|2009|USA|NA"
"9",9,1198,"gi|348549262|gb|JN562726.1|Rhinovirus_B|2007|2007|USA|NA"
"10",10,1148,"gi|357529849|gb|JN798562.2|Rhinovirus_B|29_Sep_2007|2007|USA|NA"
"11",11,1088,"gi|380513851|gb|JQ245969.1|Rhinovirus_B|2007|2007|USA|NA"
"12",12,1360,"gi|295883690|gb|GU968948.1|Human_rhinovirus_B72|16_Feb_2007|2007|Netherlands|EU"
"13",13,1049,"gi|588492823|gb|KF958309.1|Rhinovirus_B|29_Sep_2007|2007|USA|NA"
"14",14,1050,"gi|348549278|gb|JN614997.1|Rhinovirus_B|29_Sep_2007|2007|USA|NA"
"15",15,1369,"gi|357542287|gb|JN990701.1|Rhinovirus_B|2007|2007|USA|NA"
"16",16,1240,"gi|323319993|gb|JF285331.1|Rhinovirus_B|30_Dec_2004|2004|Switzerland|EU"
"17",17,1244,"gi|323319991|gb|JF285330.1|Rhinovirus_B|11_May_2005|2005|Switzerland|EU"
"18",18,1496,"gi|357283389|gb|JN815243.1|Rhinovirus_B|09_May_2009|2009|USA|NA"
"19",19,1131,"gi|380042484|gb|JQ747748.1|Rhinovirus_B|2000|2000|USA|NA"
"20",20,1053,"gi|392856257|gb|JX193795.1|Rhinovirus_B|2007|2007|USA|NA"
"21",21,968,"gi|380042478|gb|JQ747745.1|Rhinovirus_B|2000|2000|USA|NA"
"22",22,948,"gi|348549256|gb|JN562723.1|Rhinovirus_B|22_Sep_2007|2007|USA|NA"
"23",23,1558,"gi|357283377|gb|JN815239.1|Rhinovirus_B|09_May_2009|2009|USA|NA"
"24",24,1149,"gi|383174382|gb|JQ837717.1|Rhinovirus_B|2009|2009|USA|NA"
"25",25,1041,"gi|355429280|gb|JN798572.1|Rhinovirus_B|19_Sep_2009|2009|USA|NA"
"26",26,957,"gi|348549276|gb|JN614996.1|Rhinovirus_B|19_Sep_2009|2009|USA|NA"
"27",27,1021,"gi|387178383|gb|JQ994497.1|Rhinovirus_B|2009|2009|USA|NA"
"28",28,1631,"gi|319430970|gb|HQ123444.1|Rhinovirus_B|23_Oct_2006|2006|Thailand|AS"
"29",29,1389,"gi|388548510|gb|JX074053.1|Rhinovirus_B|2007|2007|USA|NA"
"30",30,1407,"gi|388548508|gb|JX074052.1|Rhinovirus_B|2007|2007|USA|NA"
"31",31,1262,"gi|347600446|gb|JF781501.1|Rhinovirus_B|09_Jan_2007|2007|USA|NA"
"32",32,1186,"gi|333980913|gb|JF781500.1|Rhinovirus_B|15_Sep_2007|2007|USA|NA"
"33",33,1740,"gi|348549258|gb|JN562724.1|Rhinovirus_B|27_Sep_2008|2008|USA|NA"
"34",34,1703,"gi|355429283|gb|JN798573.1|Rhinovirus_B|17_Apr_2010|2010|USA|NA"
"35",35,1602,"gi|323319949|gb|JF285309.1|Rhinovirus_B|06_Jul_2004|2004|Switzerland|EU"
"36",36,1602,"gi|323319947|gb|JF285308.1|Rhinovirus_B|06_Jul_2004|2004|Switzerland|EU"
"37",37,2043,"gi|348549246|gb|JN541271.1|Rhinovirus_B|10_Apr_2008|2008|USA|NA"
"38",38,1713,"gi|388548500|gb|JX074048.1|Rhinovirus_B|2009|2009|USA|NA"
"39",39,1693,"gi|355429328|gb|JN798588.1|Rhinovirus_B|13_Sep_2008|2008|USA|NA"
"40",40,1524,"gi|383174533|gb|JQ837723.1|Rhinovirus_B|2008|2008|USA|NA"
"41",41,1480,"gi|348549266|gb|JN614991.1|Rhinovirus_B|13_Sep_2008|2008|USA|NA"
"42",42,1411,"gi|333980915|gb|JF781502.1|Rhinovirus_B|04_Dec_2008|2008|USA|NA"
"43",43,1428,"gi|333980911|gb|JF781499.1|Rhinovirus_B|20_Sep_2008|2008|USA|NA"
"44",44,3004,"gi|333980931|gb|JF781510.1|Rhinovirus_A|05_Mar_2008|2008|USA|NA"
"45",45,2636,"gi|9627730|ref|NC_001617.1|Rhinovirus_A|NA|NA|NA|NA"
