"","num","Differences","sequencename"
"1",1,420,"gi|482514307|gb|KC570453.1|EV_A71|03_Jun_2012|2012|China|AS"
"2",2,363,"gi|354682107|gb|JN542510.1|Human_coxsackievirus_A22|Jul_2010|2010|Hong_Kong|EU"
"3",3,347,"gi|406066048|gb|JX393301.1|Human_enterovirus_C118|10_Nov_2010|2010|Peru|SA"
"4",4,355,"gi|521308824|gb|JX678287.1|Human_enterovirus_C118|13_May_2011|2011|China|AS"
"5",5,354,"gi|410832936|gb|JX961709.1|Human_enterovirus_C118|Mar_2011|2011|Israel|AS"
"6",6,354,"gi|410832934|gb|JX961708.1|Human_enterovirus_C118|Jan_2011|2011|Israel|AS"
"7",7,354,"gi|392858955|gb|JQ922256.1|Enterovirus_C|Jan_2011|2011|Israel|AS"
"8",8,349,"gi|550827204|gb|KF322116.1|Enterovirus_C|08_Feb_2012|2012|Cyprus|EU"
"9",9,352,"gi|406066053|gb|JX393302.1|Human_enterovirus_C105|10_Nov_2010|2010|Peru|SA"
"10",10,347,"gi|300490541|gb|GU131225.1|Human_enterovirus_C109|Jan_2008|2008|Nicaragua|NA"
"11",11,345,"gi|300490539|gb|GU131224.1|Human_enterovirus_C109|Apr_2008|2008|Nicaragua|NA"
"12",12,346,"gi|300490543|gb|GU131226.1|Human_enterovirus_C109|Apr_2008|2008|Nicaragua|NA"
"13",13,343,"gi|300490508|gb|GQ865517.1|Human_enterovirus_C109|23_Feb_2008|2008|Nicaragua|NA"
"14",14,344,"gi|386656189|gb|JN900470.1|Human_enterovirus_C109|23_Jan_2007|2007|Hungary|EU"
"15",15,351,"gi|300490545|gb|GU131227.1|Human_enterovirus_C109|Jan_2008|2008|Nicaragua|NA"
"16",16,351,"gi|594009760|dbj|AB828290.1|CV_A19|2001|2001|Japan|AS"
"17",17,620,"gi|594009756|dbj|AB828288.1|CV_A19|2001|2001|Japan|AS"
"18",18,363,"gi|469664898|gb|KC344834.1|Human_enterovirus_113|2009|2009|Bangladesh|AS"
"19",19,360,"gi|469664896|gb|KC344833.1|Human_enterovirus_113|2006|2006|Bangladesh|AS"
"20",20,349,"gi|475882696|gb|KC785532.1|CV_A19|Oct_2006|2006|Bangladesh|AS"
"21",21,361,"gi|475882694|gb|KC785531.1|CV_A19|Mar_2009|2009|Bangladesh|AS"
"22",22,364,"gi|475882692|gb|KC785530.1|Human_coxsackievirus_A22|Jun_2009|2009|Bangladesh|AS"
"23",23,363,"gi|475882688|gb|KC785528.1|Human_coxsackievirus_A22|Jan_2009|2009|Bangladesh|AS"
"24",24,367,"gi|475882690|gb|KC785529.1|CV_A1|Apr_2009|2009|Bangladesh|AS"
"25",25,351,"gi|402479427|gb|JX174177.1|CV_A1|06_Sep_2011|2011|China|AS"
"26",26,352,"gi|402479425|gb|JX174176.1|CV_A1|02_Sep_2011|2011|China|AS"
"27",27,344,"gi|403494947|gb|JX262382.1|Human_enterovirus_C117|Jun_2011|2011|Lithuania|NA"
"28",28,344,"gi|385866885|gb|JQ446368.1|Enterovirus_C|Jun_2011|2011|Lithuania|NA"
"29",29,355,"gi|383387796|dbj|AB686524.1|Human_enterovirus_C104|Feb_2011|2011|Japan|AS"
"30",30,352,"gi|475882680|gb|KC785524.1|Human_enterovirus_C104|28_Apr_2009|2009|Gambia|NA"
"31",31,357,"gi|402170132|gb|JX173880.1|Human_enterovirus_C104|Dec_2009|2009|Italy|EU"
"32",32,357,"gi|402170130|gb|JX173879.1|Human_enterovirus_C104|Mar_2009|2009|Italy|EU"
"33",33,350,"gi|475882678|gb|KC785523.1|Human_enterovirus_C104|26_Mar_2009|2009|Gambia|NA"
"34",34,356,"gi|402170134|gb|JX173881.1|Human_enterovirus_C104|Mar_2009|2009|Italy|EU"
"35",35,350,"gi|429891726|gb|JX982256.1|Human_enterovirus_C104|May_2009|2009|Italy|EU"
"36",36,352,"gi|402170138|gb|JX173883.1|Human_enterovirus_C104|Mar_2009|2009|Italy|EU"
"37",37,357,"gi|429891728|gb|JX982257.1|Human_enterovirus_C104|Apr_2009|2009|Italy|EU"
"38",38,356,"gi|429891732|gb|JX982259.1|Human_enterovirus_C104|May_2009|2009|Italy|EU"
"39",39,356,"gi|429891720|gb|JX982253.1|Human_enterovirus_C104|Apr_2009|2009|Italy|EU"
"40",40,354,"gi|429891724|gb|JX982255.1|Human_enterovirus_C104|May_2009|2009|Italy|EU"
"41",41,355,"gi|429891730|gb|JX982258.1|Human_enterovirus_C104|May_2009|2009|Italy|EU"
"42",42,352,"gi|429891722|gb|JX982254.1|Human_enterovirus_C104|Apr_2009|2009|Italy|EU"
"43",43,354,"gi|402170136|gb|JX173882.1|Human_enterovirus_C104|Feb_2009|2009|Italy|EU"
"44",44,337,"gi|451963469|gb|JX417823.1|EV_C95|2008|2008|Chad|NA"
"45",45,341,"gi|451963467|gb|JX417822.1|EV_C95|2008|2008|Chad|NA"
"46",46,201,"gi|402237596|gb|JN812628.1|Human_poliovirus_1|1981|1981|Brazil|SA"
"47",47,201,"gi|402237568|gb|JN812614.1|Human_poliovirus_1|1982|1982|Brazil|SA"
"48",48,197,"gi|402237564|gb|JN812612.1|Human_poliovirus_1|1982|1982|Brazil|SA"
"49",49,203,"gi|402237570|gb|JN812615.1|Human_poliovirus_1|1982|1982|Brazil|SA"
"50",50,200,"gi|402237566|gb|JN812613.1|Human_poliovirus_1|1982|1982|Brazil|SA"
"51",51,196,"gi|402237616|gb|JN812638.1|Human_poliovirus_1|1986|1986|Brazil|SA"
"52",52,192,"gi|402237560|gb|JN812610.1|Human_poliovirus_1|1988|1988|Brazil|SA"
"53",53,196,"gi|402237556|gb|JN812608.1|Human_poliovirus_1|1988|1988|Brazil|SA"
"54",54,200,"gi|402237562|gb|JN812611.1|Human_poliovirus_1|1988|1988|Brazil|SA"
"55",55,196,"gi|402237558|gb|JN812609.1|Human_poliovirus_1|1988|1988|Brazil|SA"
"56",56,194,"gi|402237598|gb|JN812629.1|Human_poliovirus_1|1981|1981|Brazil|SA"
"57",57,194,"gi|402237594|gb|JN812627.1|Human_poliovirus_1|1983|1983|Brazil|SA"
"58",58,195,"gi|402237602|gb|JN812631.1|Human_poliovirus_1|1982|1982|Brazil|SA"
"59",59,195,"gi|402237604|gb|JN812632.1|Human_poliovirus_1|1982|1982|Brazil|SA"
"60",60,194,"gi|402237600|gb|JN812630.1|Human_poliovirus_1|1981|1981|Brazil|SA"
"61",61,190,"gi|402237592|gb|JN812626.1|Human_poliovirus_1|1986|1986|Brazil|SA"
"62",62,195,"gi|402237582|gb|JN812621.1|Human_poliovirus_1|1988|1988|Brazil|SA"
"63",63,195,"gi|402237578|gb|JN812619.1|Human_poliovirus_1|1988|1988|Brazil|SA"
"64",64,195,"gi|402237576|gb|JN812618.1|Human_poliovirus_1|1988|1988|Brazil|SA"
"65",65,195,"gi|402237574|gb|JN812617.1|Human_poliovirus_1|1988|1988|Brazil|SA"
"66",66,195,"gi|402237572|gb|JN812616.1|Human_poliovirus_1|1988|1988|Brazil|SA"
"67",67,197,"gi|402237590|gb|JN812625.1|Human_poliovirus_1|1988|1988|Brazil|SA"
"68",68,197,"gi|402237588|gb|JN812624.1|Human_poliovirus_1|1988|1988|Brazil|SA"
"69",69,197,"gi|402237580|gb|JN812620.1|Human_poliovirus_1|1988|1988|Brazil|SA"
"70",70,197,"gi|402237586|gb|JN812623.1|Human_poliovirus_1|1988|1988|Brazil|SA"
"71",71,197,"gi|402237584|gb|JN812622.1|Human_poliovirus_1|1988|1988|Brazil|SA"
"72",72,199,"gi|402237614|gb|JN812637.1|Human_poliovirus_1|1985|1985|Brazil|SA"
"73",73,197,"gi|402237610|gb|JN812635.1|Human_poliovirus_1|1988|1988|Brazil|SA"
"74",74,198,"gi|402237612|gb|JN812636.1|Human_poliovirus_1|1988|1988|Brazil|SA"
"75",75,197,"gi|402237608|gb|JN812634.1|Human_poliovirus_1|1988|1988|Brazil|SA"
"76",76,194,"gi|402237606|gb|JN812633.1|Human_poliovirus_1|1984|1984|Brazil|SA"
"77",77,209,"gi|317408181|gb|HQ286315.1|Human_poliovirus_1|1989|1989|South_Africa|AF"
"78",78,195,"gi|317408171|gb|HQ286310.1|Human_poliovirus_1|1987|1987|Guatemala|NA"
"79",79,169,"gi|82542502|gb|DQ264284.1|Human_poliovirus_1|2003|2003|Georgia|EU"
"80",80,167,"gi|239915155|dbj|AB467375.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"81",81,165,"gi|242200436|gb|FJ769385.1|Human_poliovirus_1|07_Aug_2004|2004|China|AS"
"82",82,165,"gi|242200434|gb|FJ769384.1|Human_poliovirus_1|06_Aug_2004|2004|China|AS"
"83",83,165,"gi|242200432|gb|FJ769383.1|Human_poliovirus_1|08_Aug_2004|2004|China|AS"
"84",84,164,"gi|242200422|gb|FJ769378.1|Human_poliovirus_1|13_Jul_2004|2004|China|AS"
"85",85,165,"gi|242200430|gb|FJ769382.1|Human_poliovirus_1|15_Jun_2004|2004|China|AS"
"86",86,165,"gi|242200424|gb|FJ769379.1|Human_poliovirus_1|26_Jul_2004|2004|China|AS"
"87",87,165,"gi|242200428|gb|FJ769381.1|Human_poliovirus_1|16_Aug_2004|2004|China|AS"
"88",88,164,"gi|242200426|gb|FJ769380.1|Human_poliovirus_1|10_Aug_2004|2004|China|AS"
"89",89,167,"gi|82542492|gb|DQ264279.1|Human_poliovirus_1|2001|2001|Russia|AS"
"90",90,170,"gi|215254371|gb|FJ437004.1|Human_poliovirus_1|2008|2008|Switzerland|EU"
"91",91,166,"gi|215254373|gb|FJ437005.1|Human_poliovirus_1|2008|2008|Switzerland|EU"
"92",92,165,"gi|215254375|gb|FJ437006.1|Human_poliovirus_1|2008|2008|Switzerland|EU"
"93",93,166,"gi|215254369|gb|FJ437003.1|Human_poliovirus_1|2008|2008|Switzerland|EU"
"94",94,166,"gi|215254363|gb|FJ437000.1|Human_poliovirus_1|2008|2008|Switzerland|EU"
"95",95,164,"gi|215254367|gb|FJ437002.1|Human_poliovirus_1|2008|2008|Switzerland|EU"
"96",96,164,"gi|215254365|gb|FJ437001.1|Human_poliovirus_1|2008|2008|Switzerland|EU"
"97",97,169,"gi|215254361|gb|FJ436999.1|Human_poliovirus_1|2008|2008|Switzerland|EU"
"98",98,169,"gi|388250605|gb|JQ613983.1|Human_poliovirus_1|07_Feb_2010|2010|Egypt|AF"
"99",99,168,"gi|82542484|gb|DQ264275.1|Human_poliovirus_1|2001|2001|Russia|AS"
"100",100,166,"gi|82542442|gb|DQ264254.1|Human_poliovirus_1|1997|1997|Russia|AS"
"101",101,167,"gi|239915265|dbj|AB467430.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"102",102,166,"gi|239915551|dbj|AB467573.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"103",103,167,"gi|82542496|gb|DQ264281.1|Human_poliovirus_1|2002|2002|Russia|AS"
"104",104,170,"gi|82542490|gb|DQ264278.1|Human_poliovirus_1|1998|1998|Russia|AS"
"105",105,170,"gi|239915783|dbj|AB467689.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"106",106,163,"gi|82542480|gb|DQ264273.1|Human_poliovirus_1|2000|2000|Kyrgyzstan|AS"
"107",107,167,"gi|82542500|gb|DQ264283.1|Human_poliovirus_1|2002|2002|Georgia|EU"
"108",108,168,"gi|239915825|dbj|AB467710.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"109",109,168,"gi|239915377|dbj|AB467486.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"110",110,169,"gi|239915167|dbj|AB467381.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"111",111,168,"gi|239915523|dbj|AB467559.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"112",112,164,"gi|239915283|dbj|AB467439.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"113",113,166,"gi|239915273|dbj|AB467434.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"114",114,166,"gi|82542482|gb|DQ264274.1|Human_poliovirus_1|2001|2001|Russia|AS"
"115",115,167,"gi|82542468|gb|DQ264267.1|Human_poliovirus_1|2000|2000|Russia|AS"
"116",116,168,"gi|239915563|dbj|AB467579.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"117",117,167,"gi|239915561|dbj|AB467578.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"118",118,167,"gi|239915559|dbj|AB467577.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"119",119,166,"gi|239915605|dbj|AB467600.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"120",120,167,"gi|385541242|dbj|AB629949.1|Human_poliovirus_1|2008|2008|Japan|AS"
"121",121,170,"gi|82542474|gb|DQ264270.1|Human_poliovirus_1|1998|1998|Russia|AS"
"122",122,164,"gi|82542434|gb|DQ264250.1|Human_poliovirus_1|1997|1997|Russia|AS"
"123",123,164,"gi|82542486|gb|DQ264276.1|Human_poliovirus_1|2001|2001|Russia|AS"
"124",124,166,"gi|82542436|gb|DQ264251.1|Human_poliovirus_1|1997|1997|Kazakhstan|AS"
"125",125,165,"gi|239915757|dbj|AB467676.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"126",126,170,"gi|239915277|dbj|AB467436.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"127",127,164,"gi|110618302|gb|DQ841134.1|Human_poliovirus_1|2005|2005|Switzerland|EU"
"128",128,166,"gi|239915647|dbj|AB467621.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"129",129,168,"gi|239915339|dbj|AB467467.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"130",130,166,"gi|239915465|dbj|AB467530.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"131",131,166,"gi|239915235|dbj|AB467415.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"132",132,164,"gi|239915555|dbj|AB467575.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"133",133,165,"gi|239915553|dbj|AB467574.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"134",134,168,"gi|239915815|dbj|AB467705.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"135",135,167,"gi|239915747|dbj|AB467671.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"136",136,164,"gi|239915315|dbj|AB467455.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"137",137,167,"gi|478732945|dbj|AB813052.1|Human_poliovirus_1_strain_Sabin|2011|2011|China|AS"
"138",138,167,"gi|478732941|dbj|AB813050.1|Human_poliovirus_1_strain_Sabin|2011|2011|China|AS"
"139",139,168,"gi|399220050|dbj|AB739056.1|Human_poliovirus_1|20_Aug_2011|2011|China|AS"
"140",140,167,"gi|239915745|dbj|AB467670.1|Human_poliovirus_1|2005|2005|Egypt|AF"
"141",141,167,"gi|449082848|dbj|AB781738.1|Human_poliovirus_1|2012|2012|China|AS"
